system_id,system_name,macro_region,cluster,primary_node,registered_population_m,main_specialization,secondary_specialization,governance_at_R0,route_profile,GA10_transition_seed,notes
M11-01,Faroorn,MIDDLE,Thorn Foundry,L3,52.701,node services,repair yards,Imperial Province,seasonal route,T6 re-centralized,
M11-02,Fennorn,MIDDLE,Thorn Foundry,L2,186.611,mining,mixed agriculture,Neutral Charter,regional hub,T2 joint transition,
M11-03,Kestessa,MIDDLE,Thorn Foundry,L3,48.827,industrial frames,regional logistics,Joint Trust,single-corridor spur,T6 re-centralized,
M11-04,Quenora,MIDDLE,Thorn Foundry,L3,32.833,node services,education,Regional Assembly,single-corridor spur,T5 contested,
M11-05,Orinum,MIDDLE,Thorn Foundry,L3,54.315,education,mixed agriculture,Imperial Province,damaged route,T5 contested,
M11-06,Darinia,MIDDLE,Thorn Foundry,L3,50.352,media,mixed agriculture,Imperial Province,seasonal route,T2 joint transition,
M11-07,Esenyr,MIDDLE,Thorn Foundry,L3,45.084,industrial frames,salvage,Helix Contract Zone,damaged route,T1 delegated,
M11-08,Galenes,MIDDLE,Thorn Foundry,L2,177.922,node services,refining,Helix Contract Zone,industrial branch,T3 local plural,
M11-09,Belessa,MIDDLE,Thorn Foundry,L2,162.619,repair yards,water processing,Neutral Charter,cross-corridor,T0 synchronized,
M11-10,Amonin,MIDDLE,Thorn Foundry,L1,303.267,media,medical transit,Helix Contract Zone,multi-region junction,T5 contested,
M11-11,Areleth,MIDDLE,Thorn Foundry,L2,157.504,salvage,industrial frames,Imperial Province,industrial branch,T1 delegated,
M11-12,Hesses,MIDDLE,Thorn Foundry,L2,156.784,medical transit,node services,Neutral Charter,regional hub,T5 contested,
M12-01,Galenis,MIDDLE,Lentz Garden,L2,155.682,water processing,mixed agriculture,Imperial Province,cross-corridor,T2 joint transition,
M12-02,Navaeth,MIDDLE,Lentz Garden,L2,162.97,mining,salvage,Neutral Charter,industrial branch,T2 joint transition,
M12-03,Erisas,MIDDLE,Lentz Garden,L3,43.108,medical transit,node services,Joint Trust,seasonal route,T6 re-centralized,
M12-04,Fennan,MIDDLE,Lentz Garden,L2,123.695,repair yards,medical transit,Neutral Charter,regional hub,T5 contested,
M12-05,Arelessa,MIDDLE,Lentz Garden,L2,89.274,refining,regional logistics,Regional Assembly,regional hub,T3 local plural,
M12-06,Torenos,MIDDLE,Lentz Garden,L2,139.746,node services,salvage,Contested Administration,industrial branch,T6 re-centralized,
M12-07,Corara,MIDDLE,Lentz Garden,L3,46.633,mixed agriculture,industrial frames,Contested Administration,single-corridor spur,T3 local plural,
M12-08,Demeessa,MIDDLE,Lentz Garden,L3,45.051,refining,industrial frames,Regional Assembly,seasonal route,T3 local plural,
M12-09,Esenadia,MIDDLE,Lentz Garden,L3,41.81,refining,water processing,Joint Trust,single-corridor spur,T6 re-centralized,
M12-10,Esenora,MIDDLE,Lentz Garden,L2,105.207,mining,node services,Contested Administration,industrial branch,T5 contested,
M12-11,Beles,MIDDLE,Lentz Garden,L3,27.837,industrial frames,refining,Neutral Charter,single-corridor spur,T1 delegated,
M12-12,Fennis,MIDDLE,Lentz Garden,L2,183.461,medical transit,regional logistics,Joint Trust,regional hub,T6 re-centralized,
M13-01,Iriaara,MIDDLE,Or Archive,L3,26.725,salvage,education,Imperial Province,damaged route,T2 joint transition,
M13-02,Noxora,MIDDLE,Or Archive,L2,164.017,refining,water processing,Helix Contract Zone,cross-corridor,T1 delegated,
M13-03,Ivenara,MIDDLE,Or Archive,L3,27.517,refining,mining,Helix Contract Zone,damaged route,T3 local plural,
M13-04,Junoune,MIDDLE,Or Archive,L2,174.519,media,water processing,Joint Trust,regional hub,T6 re-centralized,
M13-05,Haleis,MIDDLE,Or Archive,L2,170.908,mixed agriculture,salvage,Regional Assembly,cross-corridor,T4 asynchronous,
M13-06,Wreneth,MIDDLE,Or Archive,L2,160.405,repair yards,media,Contested Administration,industrial branch,T1 delegated,
M13-07,Joraion,MIDDLE,Or Archive,L3,52.451,mining,repair yards,Neutral Charter,seasonal route,T0 synchronized,
M13-08,Wrenorn,MIDDLE,Or Archive,L2,146.48,education,salvage,Helix Contract Zone,cross-corridor,T0 synchronized,
M13-09,Pavois,MIDDLE,Or Archive,L2,158.733,industrial frames,water processing,Imperial Province,cross-corridor,T0 synchronized,
M13-10,Navaum,MIDDLE,Or Archive,L2,126.451,education,salvage,Regional Assembly,cross-corridor,T3 local plural,
M13-11,Ossaora,MIDDLE,Or Archive,L2,93.643,node services,education,Helix Contract Zone,cross-corridor,T3 local plural,
M13-12,Karaorn,MIDDLE,Or Archive,L3,45.12,salvage,education,Contested Administration,local relay,T0 synchronized,
M14-01,Peraan,MIDDLE,Doan Roads,L3,35.879,water processing,node services,Contested Administration,damaged route,T5 contested,
M14-02,Orinion,MIDDLE,Doan Roads,L3,39.464,water processing,medical transit,Helix Contract Zone,local relay,T1 delegated,
