"item_id","name","first_reveal","subact","final_payoff","plot_use","limit_cost","misuse_risk","related_mystery","decision_maker","entry_exit","veto_holder","funding","texture_status"
"F-01","교도군사학원 운영 주체","GA1","A1","GA10","학원이 생도를 사람으로 남길지 자원으로 쓸지의 시험대","예산이 곧 생존 조건이라 외부 계약에 휘둘린다","후원자에게 생도를 상품으로 보여 주면 예산이 늘어난다","M-017","[ASSUMPTION] 학원 운영위원회 — 후원자 대표가 배석 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","생도는 입소계약, 이탈 시 후원 잔액 반환","[ASSUMPTION] 제국 인가청이 인가 취소권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 제국 보조금 + 기업 후원 계약 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-01-a","교육·평가","GA1","A1","GA10","생도를 사람으로 남기는 것 — 이 요구가 생태계 안에서 다른 블록과 부딪힌다","교육 성과가 졸업 후에야 나와 당해 예산을 방어하지 못한다","느린 성과를 이유로 훈련 시간을 후원 실적 행사에 내줄 수 있다","M-017","[ASSUMPTION] 교육 부문장 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","교관 임용·사임","[ASSUMPTION] 안전 부문이 훈련 중단권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 학원 예산 배분분 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-01-b","운용·출동","GA1","A2","GA10","임무 성공률과 예산 정당화 — 이 요구가 생태계 안에서 다른 블록과 부딪힌다","일정과 시설을 쥐고 있으나 사고 책임도 함께 진다","우선배정 권한으로 특정 조를 불리하게 만들면서 절차상 하자는 남기지 않는다","M-017","[ASSUMPTION] 운영 부문장 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","직원 고용","[ASSUMPTION] 운영이 일정·시설 배정권을 스스로 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 학원 예산 배분분 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-01-c","연구","GA1","A2","GA10","07호 계통의 데이터 — 이 요구가 생태계 안에서 다른 블록과 부딪힌다","연구 자금이 기업 계약에서 나와 결과 귀속이 학원 밖으로 간다","생도 작업기록을 연구 자료로 편입해 기여자 이름을 지울 수 있다","M-017","[ASSUMPTION] 연구 부문장 + 계약 기업 공동 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","연구원 계약","[ASSUMPTION] 기업 측이 결과 공개 거부권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 기업 연구 계약금 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-01-d","야전","GA1","B1","GA10","현장 판단권 — 이 요구가 생태계 안에서 다른 블록과 부딪힌다","실전 노출이 교육 효과와 사망 위험을 동시에 올린다","훈련이라는 이름으로 미인증 생도를 위험 임무에 투입할 수 있다","M-017","[ASSUMPTION] 야전 부문장 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","지원자 중 선발","[ASSUMPTION] 의료가 투입 정지권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 임무 수임료 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-01-e","학원 보안","GA1","A4","GA10","사고 은폐와 통제 — 이 요구가 생태계 안에서 다른 블록과 부딪힌다","보안 사고 한 건이 학원 전체 인가를 흔든다","보안을 명분으로 생도의 기록 열람과 외부 증언을 차단할 수 있다","M-017","[ASSUMPTION] 보안 부문장 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","임용 시 신원 심사","[ASSUMPTION] 보안이 열람·증언 차단권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 학원 예산 + 제국 보안 보조 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-02","제국 정보·계승 관리","GA1","A4","GA9","제국 계승의 연속성이 누구를 지우면서 유지되는지를 드러낸다","연속성 유지가 개인의 삭제를 요구한다","계승 안정을 명분으로 어떤 개인의 삭제든 절차가 된다","M-018","[ASSUMPTION] 황실 계승 관리 최고위 — 구성원 비공개 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","임명제, 이탈은 사실상 불가","[ASSUMPTION] 황실이 최종 거부권 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 황실 내탕금 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-02-a","왕조","GA1","B4","GA9","혈통 정통성 — 이 요구가 생태계 안에서 다른 블록과 부딪힌다","혈통 정통성은 증명될수록 다른 계승자를 부정한다","정통성 심사를 열어 두면 경쟁 계승자를 상시 불안정하게 만들 수 있다","M-018","[ASSUMPTION] 왕조 부문 수석 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","혈통 자격 심사","[ASSUMPTION] 계승 심사회가 자격 부인권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 황실 내탕금 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-02-b","연속성","GA1","A4","GA9","체제의 무중단 — 이 요구가 생태계 안에서 다른 블록과 부딪힌다","연속성 유지에는 공백을 메울 대역이 필요하고 대역은 진실을 안다","연속성을 지키려고 진실을 아는 사람 자체를 없앨 수 있다","M-018","[ASSUMPTION] 연속성 부문 수석 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","임명, 이탈 시 기억 처리 대상","[ASSUMPTION] 연속성이 개인 삭제 결정권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 황실 내탕금 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-02-c","숙청","GA1","B2","GA9","위협의 제거 — 이 요구가 생태계 안에서 다른 블록과 부딪힌다","숙청은 즉효지만 다음 세대의 적을 만든다","위협 판정 기준을 넓히면 무엇이든 사후에 정당화된다","M-018","[ASSUMPTION] 숙청 부문 수석 — 기록 남기지 않음 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","임명, 이탈 기록 없음","[ASSUMPTION] 황실만이 정지 가능 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 비공개 예산 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-02-d","육성","GA1","B2","GA9","쓸 만한 인재의 확보 — 이 요구가 생태계 안에서 다른 블록과 부딪힌다","후보를 기르는 데 십수 년이 들고 그 사이 후보가 자기 뜻을 갖는다","육성 대상에게 기른 값을 갚으라고 요구할 수 있다","M-018","[ASSUMPTION] 육성 부문 수석 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","후보 선발, 이탈 시 투자 회수 요구","[ASSUMPTION] 육성 대상 본인은 거부권 없음 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 황실 내탕금 + 기업 공동 출자 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-02-e","기록","GA1","A2","GA9","무엇을 남기고 무엇을 지울지의 권한 — 이 요구가 생태계 안에서 다른 블록과 부딪힌다","보존은 무엇을 남길지의 선별이고 선별한 사람은 남지 않는다","기록에서 빼는 것만으로 존재를 없앨 수 있고 죽일 필요가 없다","M-018","[ASSUMPTION] 기록관 수석 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","임명","[ASSUMPTION] 기록관이 등재·삭제권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 황실 내탕금 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-03","군수·인증 연합","GA1","A2","GA10","규격 지배가 폭력 없이 종속을 만드는 방식을 보인다","계약이 끊기면 상대가 즉시 멈춘다","인증 기준을 바꾸는 것만으로 경쟁자의 재고를 폐기물로 만들 수 있다","M-016","[ASSUMPTION] 헬릭스 이사회 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","계약 체결·해지","[ASSUMPTION] 계약사가 인증 철회권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 계약 수익 + 인증 수수료 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
