source_key,source_file,source_id,title,provisional_entry_ids,entry_kinds,domain_tags,split_required,normalized_record_count,reason,canon_promotion
docs/09_collection/first-100-collectible-registry-v1.md#P-001,docs/09_collection/first-100-collectible-registry-v1.md,P-001,H-001 / Future Blood Admiral,DRY-CL-R-000001|DRY-CL-R-000002|DRY-CL-R-000003,ENTITY|RELATIONSHIP|NARRATIVE_PROMISE,C1,TRUE,3,인물·조건부 동맹과 미래 정체 약속이 한 행에 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#P-002,docs/09_collection/first-100-collectible-registry-v1.md,P-002,H-002 / Future Fleet Designer,DRY-CL-R-000004|DRY-CL-R-000005|DRY-CL-R-000006|DRY-CL-R-000007,ENTITY|RELATIONSHIP|CONTROL_CLAIM|NARRATIVE_PROMISE,C1|C2|C6|C7,TRUE,4,인물·계약 관계와 설계권·미래 역할 약속이 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#P-003,docs/09_collection/first-100-collectible-registry-v1.md,P-003,S-001 / Data and Audit Cadet,DRY-CL-R-000008|DRY-CL-R-000009|DRY-CL-R-000010,ENTITY|RELATIONSHIP|CONTROL_CLAIM,C1|C7,TRUE,3,인물·감사 관계와 자격·정보 통제가 함께 기록됨,NONE
docs/09_collection/first-100-collectible-registry-v1.md#P-004,docs/09_collection/first-100-collectible-registry-v1.md,P-004,M-001 / Medical and Rescue Cadet,DRY-CL-R-000011|DRY-CL-R-000012|DRY-CL-R-000013,ENTITY|RELATIONSHIP|CONTROL_CLAIM,C1|C7,TRUE,3,인물·의료 협력과 중지·접근 권한이 함께 기록됨,NONE
docs/09_collection/first-100-collectible-registry-v1.md#P-005,docs/09_collection/first-100-collectible-registry-v1.md,P-005,I-001 / Field Instructor,DRY-CL-R-000014|DRY-CL-R-000015|DRY-CL-R-000016|DRY-CL-R-000017,ENTITY|RELATIONSHIP|CONTROL_CLAIM|STATE_TRANSITION,C1|C7,TRUE,4,인물·제도 관계와 조사·권한 축소 상태가 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#P-006,docs/09_collection/first-100-collectible-registry-v1.md,P-006,E-001 / White Dock Enemy Ace,DRY-CL-R-000018|DRY-CL-R-000019|DRY-CL-R-000020,ENTITY|RELATIONSHIP|NARRATIVE_PROMISE,C1,TRUE,3,인물·경쟁 관계와 미회수 목적 약속이 함께 기록됨,NONE
docs/09_collection/first-100-collectible-registry-v1.md#P-007,docs/09_collection/first-100-collectible-registry-v1.md,P-007,R-IMP-001 / Imperial Observer,DRY-CL-R-000021|DRY-CL-R-000022|DRY-CL-R-000023,ENTITY|RELATIONSHIP|CONTROL_CLAIM,C1|C2|C7,TRUE,3,인물·제국 대표 관계와 코어·헌장 권한이 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#P-008,docs/09_collection/first-100-collectible-registry-v1.md,P-008,R-NEU-001 / Neutral Rescue and Claims Officer,DRY-CL-R-000024|DRY-CL-R-000025|DRY-CL-R-000026|DRY-CL-R-000027,ENTITY|RELATIONSHIP|CONTROL_CLAIM|LOSS_OBLIGATION,C1|C7,TRUE,4,인물·중립 수탁 관계와 보호권·채무가 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#P-009,docs/09_collection/first-100-collectible-registry-v1.md,P-009,R-HEL-001 / Helix Evaluator,DRY-CL-R-000028|DRY-CL-R-000029|DRY-CL-R-000030|DRY-CL-R-000031,ENTITY|RELATIONSHIP|CONTROL_CLAIM|LOSS_OBLIGATION,C1|C2|C3|C7,TRUE,4,인물·계약 관계와 재산·정보권·채무가 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#P-010,docs/09_collection/first-100-collectible-registry-v1.md,P-010,AI-W001 / Black Ward Witness Interface,DRY-CL-R-000032|DRY-CL-R-000033|DRY-CL-R-000034|DRY-CL-R-000035,ENTITY|RELATIONSHIP|CONTROL_CLAIM|NARRATIVE_PROMISE,C1|C6|C7,TRUE,4,인격체·증언 관계와 동의권·정체 미스터리가 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#P-011,docs/09_collection/first-100-collectible-registry-v1.md,P-011,Protector/Community Focal Network,DRY-CL-R-000036|DRY-CL-R-000037|DRY-CL-R-000038,ENTITY|RELATIONSHIP|CONTROL_CLAIM,C1|C7,TRUE,3,공동체 실체·대표 관계와 치료·헌장 권리가 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#F-001,docs/09_collection/first-100-collectible-registry-v1.md,F-001,07 Core / AUXILIA Inspection Kernel,DRY-CL-R-000039|DRY-CL-R-000040|DRY-CL-R-000041,ENTITY|CONTROL_CLAIM|STATE_TRANSITION,C2|C6,TRUE,3,코어 실체와 공동 접근권·분산복구 상태가 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#F-002,docs/09_collection/first-100-collectible-registry-v1.md,F-002,Asymmetric Radiator Wing,DRY-CL-R-000042|DRY-CL-R-000043|DRY-CL-R-000044,ENTITY|CONTROL_CLAIM|LOSS_OBLIGATION,C2|C7,TRUE,3,냉각 부품과 경매 청구권·검사채무가 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#F-003,docs/09_collection/first-100-collectible-registry-v1.md,F-003,Industrial Manipulator Arm,DRY-CL-R-000045|DRY-CL-R-000046,ENTITY|CONTROL_CLAIM,C2|C3|C7,TRUE,2,기체 팔·공구 실체와 회수·노동 청구가 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#F-004,docs/09_collection/first-100-collectible-registry-v1.md,F-004,Anchor Shield Plate,DRY-CL-R-000047|DRY-CL-R-000048,ENTITY|CONTROL_CLAIM,C3|C7,TRUE,2,방어 장비와 임무 사용권이 명시적으로 분리됨,NONE
docs/09_collection/first-100-collectible-registry-v1.md#F-005,docs/09_collection/first-100-collectible-registry-v1.md,F-005,Mixed Leg Pair,DRY-CL-R-000049|DRY-CL-R-000050,ENTITY|STATE_TRANSITION,C2,TRUE,2,다리 실체와 손상·재건·교리화 전이가 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#F-006,docs/09_collection/first-100-collectible-registry-v1.md,F-006,Utility Sensor Head,DRY-CL-R-000051|DRY-CL-R-000052,ENTITY|STATE_TRANSITION,C2,TRUE,2,센서 헤드와 손실·교체·수리 전이가 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#F-007,docs/09_collection/first-100-collectible-registry-v1.md,F-007,Thermal Cutter Lance,DRY-CL-R-000053,ENTITY,C3,FALSE,1,독립 운용되는 절단 공구·무기 실체,NONE
