"formation_id","row_class","inventory_rule","adoption_profile","named_core_candidate","canon_status"
"IMP-CG-01","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L02_PRIMARY|L07_RESTRICTED","C05","PROPOSED_NONCANON_MAPPING"
"IMP-CG-02","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L02_PRIMARY","NO","PROPOSED_NONCANON_MAPPING"
"IMP-LM-03","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L02_PRIMARY","NO","PROPOSED_NONCANON_MAPPING"
"IMP-BR-04","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L02_PRIMARY|L04_LOCAL_SUPPORT","NO","PROPOSED_NONCANON_MAPPING"
"IMP-OR-05","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L02_PRIMARY","NO","PROPOSED_NONCANON_MAPPING"
"IMP-MD-06","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L02_PRIMARY","NO","PROPOSED_NONCANON_MAPPING"
"IMP-AR-07","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L02_PRIMARY|L04_LOCAL_SUPPORT","NO","PROPOSED_NONCANON_MAPPING"
"IMP-OP-08","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L02_PRIMARY|L05_RESCUE_SUPPORT","NO","PROPOSED_NONCANON_MAPPING"
"IMP-RD-09","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L02_PRIMARY|L06_ROUTE_CONVERSION","NO","PROPOSED_NONCANON_MAPPING"
"IMP-PA-10","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L02_PRIMARY|L07_RESTRICTED","NO","PROPOSED_NONCANON_MAPPING"
"IMP-PR-11","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L02_PRIMARY|L07_RESTRICTED","CONDITIONAL","PROPOSED_NONCANON_MAPPING"
"IMP-TR-12","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L02_PRIMARY|L07_RESTRICTED","NO","PROPOSED_NONCANON_MAPPING"
"HEL-CERT-01","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L03_PRIMARY","C03","PROPOSED_NONCANON_MAPPING"
"HEL-BRN-02","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L03_PRIMARY|L04_LOCAL_SUPPORT","NO","PROPOSED_NONCANON_MAPPING"
"HEL-ARD-03","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L03_PRIMARY|L04_LOCAL_SUPPORT","NO","PROPOSED_NONCANON_MAPPING"
"HEL-FLT-04","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L03_PRIMARY|MULTI_LINEAGE_SERVICE","NO","PROPOSED_NONCANON_MAPPING"
"HEL-MED-05","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L03_PRIMARY|L05_MEDICAL_SUPPORT","NO","PROPOSED_NONCANON_MAPPING"
"HEL-AUR-06","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L03_PRIMARY|L07_RESTRICTED","CONDITIONAL","PROPOSED_NONCANON_MAPPING"
"IND-VRK-01","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L06_PRIMARY","C02","PROPOSED_NONCANON_MAPPING"
"IND-RED-02","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L06_PRIMARY","NO","PROPOSED_NONCANON_MAPPING"
"IND-ASH-03","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L06_PRIMARY","NO","PROPOSED_NONCANON_MAPPING"
"IND-OPN-04","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L05_RESCUE_PRIMARY|L06_ESCORT","NO","PROPOSED_NONCANON_MAPPING"
"IND-NIN-05","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L06_PRIMARY","NO","PROPOSED_NONCANON_MAPPING"
"IND-BRK-06","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L04_PRIMARY|L06_DONOR","NO","PROPOSED_NONCANON_MAPPING"
"IND-FAR-07","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L06_ESCORT|L07_EVIDENCE_SUPPORT","NO","PROPOSED_NONCANON_MAPPING"
"IND-OUT-08","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L06_PRIMARY","NO","PROPOSED_NONCANON_MAPPING"
"NEU-LUM-01","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L05_PRIMARY","NO","PROPOSED_NONCANON_MAPPING"
"NEU-KAE-02","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L05_PRIMARY","NO","PROPOSED_NONCANON_MAPPING"
"NEU-MED-03","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L05_PRIMARY","C07","PROPOSED_NONCANON_MAPPING"
"NEU-EVD-04","SOURCE_FORMATION","GLOBAL_HOLDINGS_SOURCE","L05_PRIMARY|L07_EVIDENCE_SUPPORT","NO","PROPOSED_NONCANON_MAPPING"
"JNT-K13-01","ADJACENT_MISSION_IDENTITY","NOT_FULL_FORMATION_NOT_ADDITIVE","L01_CURRENT_ASSET_ONLY","C01_STAGE","PROPOSED_NONCANON_MAPPING"
"JNT-HALL-02","ADJACENT_MISSION_IDENTITY","NOT_FULL_FORMATION_NOT_ADDITIVE","L01_CURRENT_ASSET|SOURCE_ATTACHMENTS_REQUIRED","C01_STAGE","PROPOSED_NONCANON_MAPPING"
"JNT-ARD-03","DERIVED_MISSION_FORMATION","SOURCE_DETACHMENT_REQUIRED","INHERIT_FROM_SOURCE|L04_LOCAL_PROFILE","C04","PROPOSED_NONCANON_MAPPING"
"JNT-RTE-04","DERIVED_MISSION_FORMATION","SOURCE_DETACHMENT_REQUIRED","INHERIT_FROM_SOURCE|L05_L06_ROUTE_PROFILE","CONDITIONAL","PROPOSED_NONCANON_MAPPING"
"JNT-FLT-05","DERIVED_MISSION_FORMATION","SOURCE_DETACHMENT_REQUIRED","INHERIT_FROM_MULTIPLE_SOURCES","C06","PROPOSED_NONCANON_MAPPING"
"JNT-ORP-06","DERIVED_MISSION_FORMATION","SOURCE_DETACHMENT_REQUIRED","INHERIT_FROM_SOURCE|L05_EVACUATION_PROFILE","C07_STAGE","PROPOSED_NONCANON_MAPPING"
"JNT-REC-07","DERIVED_MISSION_FORMATION","SOURCE_DETACHMENT_REQUIRED","INHERIT_FROM_SOURCE|L07_RECORD_PROFILE","C08","PROPOSED_NONCANON_MAPPING"
"JNT-TRN-08","DERIVED_MISSION_FORMATION","SOURCE_DETACHMENT_REQUIRED","INHERIT_FROM_SOURCE|REGIONAL_PROFILES","NO","PROPOSED_NONCANON_MAPPING"
