entry_id,source_key,source_file,source_id,title,entry_kind,domain_tags,reason,canon_promotion
DRY-CL-R-000001,docs/09_collection/first-100-collectible-registry-v1.md#P-001,docs/09_collection/first-100-collectible-registry-v1.md,P-001,H-001 / Future Blood Admiral,ENTITY,C1,인물·조건부 동맹과 미래 정체 약속이 한 행에 결합,NONE
DRY-CL-R-000002,docs/09_collection/first-100-collectible-registry-v1.md#P-001,docs/09_collection/first-100-collectible-registry-v1.md,P-001,H-001 / Future Blood Admiral,RELATIONSHIP,C1,인물·조건부 동맹과 미래 정체 약속이 한 행에 결합,NONE
DRY-CL-R-000003,docs/09_collection/first-100-collectible-registry-v1.md#P-001,docs/09_collection/first-100-collectible-registry-v1.md,P-001,H-001 / Future Blood Admiral,NARRATIVE_PROMISE,C1,인물·조건부 동맹과 미래 정체 약속이 한 행에 결합,NONE
DRY-CL-R-000004,docs/09_collection/first-100-collectible-registry-v1.md#P-002,docs/09_collection/first-100-collectible-registry-v1.md,P-002,H-002 / Future Fleet Designer,ENTITY,C1|C2|C6|C7,인물·계약 관계와 설계권·미래 역할 약속이 결합,NONE
DRY-CL-R-000005,docs/09_collection/first-100-collectible-registry-v1.md#P-002,docs/09_collection/first-100-collectible-registry-v1.md,P-002,H-002 / Future Fleet Designer,RELATIONSHIP,C1|C2|C6|C7,인물·계약 관계와 설계권·미래 역할 약속이 결합,NONE
DRY-CL-R-000006,docs/09_collection/first-100-collectible-registry-v1.md#P-002,docs/09_collection/first-100-collectible-registry-v1.md,P-002,H-002 / Future Fleet Designer,CONTROL_CLAIM,C1|C2|C6|C7,인물·계약 관계와 설계권·미래 역할 약속이 결합,NONE
DRY-CL-R-000007,docs/09_collection/first-100-collectible-registry-v1.md#P-002,docs/09_collection/first-100-collectible-registry-v1.md,P-002,H-002 / Future Fleet Designer,NARRATIVE_PROMISE,C1|C2|C6|C7,인물·계약 관계와 설계권·미래 역할 약속이 결합,NONE
DRY-CL-R-000008,docs/09_collection/first-100-collectible-registry-v1.md#P-003,docs/09_collection/first-100-collectible-registry-v1.md,P-003,S-001 / Data and Audit Cadet,ENTITY,C1|C7,인물·감사 관계와 자격·정보 통제가 함께 기록됨,NONE
DRY-CL-R-000009,docs/09_collection/first-100-collectible-registry-v1.md#P-003,docs/09_collection/first-100-collectible-registry-v1.md,P-003,S-001 / Data and Audit Cadet,RELATIONSHIP,C1|C7,인물·감사 관계와 자격·정보 통제가 함께 기록됨,NONE
DRY-CL-R-000010,docs/09_collection/first-100-collectible-registry-v1.md#P-003,docs/09_collection/first-100-collectible-registry-v1.md,P-003,S-001 / Data and Audit Cadet,CONTROL_CLAIM,C1|C7,인물·감사 관계와 자격·정보 통제가 함께 기록됨,NONE
DRY-CL-R-000011,docs/09_collection/first-100-collectible-registry-v1.md#P-004,docs/09_collection/first-100-collectible-registry-v1.md,P-004,M-001 / Medical and Rescue Cadet,ENTITY,C1|C7,인물·의료 협력과 중지·접근 권한이 함께 기록됨,NONE
DRY-CL-R-000012,docs/09_collection/first-100-collectible-registry-v1.md#P-004,docs/09_collection/first-100-collectible-registry-v1.md,P-004,M-001 / Medical and Rescue Cadet,RELATIONSHIP,C1|C7,인물·의료 협력과 중지·접근 권한이 함께 기록됨,NONE
DRY-CL-R-000013,docs/09_collection/first-100-collectible-registry-v1.md#P-004,docs/09_collection/first-100-collectible-registry-v1.md,P-004,M-001 / Medical and Rescue Cadet,CONTROL_CLAIM,C1|C7,인물·의료 협력과 중지·접근 권한이 함께 기록됨,NONE
DRY-CL-R-000014,docs/09_collection/first-100-collectible-registry-v1.md#P-005,docs/09_collection/first-100-collectible-registry-v1.md,P-005,I-001 / Field Instructor,ENTITY,C1|C7,인물·제도 관계와 조사·권한 축소 상태가 결합,NONE
DRY-CL-R-000015,docs/09_collection/first-100-collectible-registry-v1.md#P-005,docs/09_collection/first-100-collectible-registry-v1.md,P-005,I-001 / Field Instructor,RELATIONSHIP,C1|C7,인물·제도 관계와 조사·권한 축소 상태가 결합,NONE
DRY-CL-R-000016,docs/09_collection/first-100-collectible-registry-v1.md#P-005,docs/09_collection/first-100-collectible-registry-v1.md,P-005,I-001 / Field Instructor,CONTROL_CLAIM,C1|C7,인물·제도 관계와 조사·권한 축소 상태가 결합,NONE
