"item_id","name","first_reveal","subact","final_payoff","plot_use","limit_cost","misuse_risk","related_mystery","authentication","rival_claimants","transfer_limit","conservation","texture_status"
"RL-001","코르덱스","GA2","","GA7","초기 계전 항로의 결손 구간을 복원해 GA7 항로전의 대체선을 성립시킨다","해독에 구식 항법 지식이 필요하고, 복원된 구간은 아직 물리적으로 통행 가능한지 알 수 없다","항로를 아는 자가 통행세를 매길 수 있다. 공개하면 적도 쓴다","M-020","구식 항법 해독자 소수 — 판정에 수개월","제국 기록관, 항로연합","복원 구간 정보라 반출 시 항로 주장 근거가 됨","매체가 취약해 열람 횟수 제한","PENDING_SCENE"
"RL-002","알리다데","GA3","","GA6","현행 규격이 못 읽는 좌표를 읽어 피난 항로를 연다","보정판 하나로는 한 구간만 읽힌다. 마모되면 오차가 커진다","잘못된 보정으로 선단 전체를 잘못된 곳에 보낼 수 있다","NONE","계측 전문가 + 마모도 측정","헬릭스 계측 부문","보정판 단위 반출 가능","마모가 곧 오차 — 사용이 소모","PENDING_SCENE"
"RL-003","스텔라리움","GA5","","GA9","별이 아니라 정착 순서를 기록해, 누가 먼저 왔는지의 주장을 흔든다","이전 문명의 언어로 되어 있어 해독자가 소수다","선주권 주장의 근거로 위조·선별 인용될 수 있다","M-020","이전 문명 언어 해독자 극소수","복수 학술 기구","원본 이동 금지, 사본만","환경 통제 보관 필수","PENDING_SCENE"
"RL-004","페리플루스","GA4","","GA8","항해 일지 원본이 계승 분쟁에서 권리 근거가 된다","원본이 하나뿐이라 이동 자체가 위험이다","소유자가 곧 역사 서술자가 된다","M-011","원본 대조 불가 — 유일본","제국 기록관, 자유항 상인","이동 자체가 소실 위험","이동 중 손상이 최대 위험","PENDING_SCENE"
"RL-005","리마","GA5","","GA10","경계 표석이 관할을 물리적으로 정해 이양기 경계 협상의 기준이 된다","옮기면 분쟁이 되고, 옮기지 않으면 현실과 어긋난다","표석을 옮기는 것만으로 사람들의 소속이 바뀐다","NONE","측량 기록과 현실 대조","두 관할이 각각 자기 판본을 주장","옮기면 관할 분쟁이 발생","석재·금속 복합이라 부식 관리","PENDING_SCENE"
"RL-006","오디폴로스","GA7","","GA10","항로 통행 계산 원판이 연방 통행료 체계의 기준이 된다","계산이 느리고 현행 교통량을 못 따라간다","독점하면 통행 자체를 통제하게 된다","NONE","계산 결과 재현으로 판정","항로연합, 헬릭스 물류","반출 가능하나 현행 교통량 미반영","기계식이라 정기 윤활 필요","PENDING_SCENE"
"RL-007","안눌루스","GA4","","GA5","계승 서명권. 반지 하나가 함대 명령권을 이동시킨다","서명은 되돌릴 수 없고, 위조 판정에 시간이 걸린다","가짜 서명으로 함대를 움직일 수 있다","M-011","서명 대조 — 위조 판정에 시간","제국 계승 관리, 실종 후계자 측","서명 후 되돌릴 수 없어 이전이 곧 권한 이전","서명면 마모 방지","PENDING_SCENE"
"RL-008","디아뎀","GA4","","GA9","즉위 상징. 쓰는 자가 아니라 씌우는 자가 권력임을 드러낸다","상징일 뿐 실권이 따라오지 않는다","정통성 없는 자를 정통으로 보이게 만든다","M-011","제국 계승 기록과 대조","복수 계승 주장자","상징이라 반출 제한이 정치적","귀금속 관리","PENDING_SCENE"
"RL-009","케이론","GA4","","GA7","위임 지팡이가 대리 권한의 물리적 형태가 된다","위임자가 죽으면 효력이 모호해진다","위임 범위를 넘는 명령의 근거로 쓰인다","NONE","위임자 생존 여부에 효력이 걸림","위임자 사후 상속 주장자 다수","위임 범위 밖 이전 무효","문서 매체 보존","PENDING_SCENE"
"RL-010","포이데라","GA5","","GA10","조약 원본 명판이 헌장 계보의 시작점이 된다","원문과 후대 해석이 어긋나 있다","불리한 조항을 훼손하면 계보 전체가 흔들린다","NONE","원문과 후대 해석이 어긋나 판정 자체가 쟁점","협약 당사 세력 전부","원문 이동 시 해석 권한이 따라감","원문 매체 열화 진행 중","PENDING_SCENE"
"RL-011","클라비쿨라","GA8","","GA9","봉인 해제 열쇠가 기록 접근의 물리적 조건이 된다","한 번 열면 다시 봉인할 수 없다","열쇠를 가진 자가 무엇을 공개할지 혼자 정한다","M-008","봉인 상태 자체가 진위 증거","제국 계승 관리, 아르젠 기록관","한 번 열면 봉인 복구 불가 — 이전이 곧 개봉 위험","봉인 무결성 상시 확인","PENDING_SCENE"
"RL-012","스텔라 유리스","GA6","","GA10","법 선포 석주에 남은 지운 자국이 개정 이력을 증언한다","석주는 옮길 수 없어 그 장소를 지켜야 한다","지운 자국을 다시 지울 수 있다","M-017","석주 각인 대조","지역 공동체, 제국 등록청","옮길 수 없음 — 장소를 지켜야 함","풍화 진행, 현장 보존만 가능","PENDING_SCENE"
"RL-013","티미아마","GA2","","GA6","공동체 의례 향로가 누가 구성원인지를 정한다","의례 없이는 구성원 판정이 성립하지 않는다","향로를 쥐면 누구를 배제할지 정하게 된다","M-019","의례 수행 여부로 성립","공동체 자체","의례 없이는 이전해도 무효","의례 도구 소모품 보충","PENDING_SCENE"
"RL-014","코로나","GA3","","GA8","노동 공동체의 관이 훈장이 아니라 책임의 표시임을 보인다","받으면 책임이 따라오고 거절도 사건이 된다","명예로 오독해 책임 없이 걸칠 수 있다","M-019","수여 기록 대조","수여 기관, 거절한 당사자","받으면 책임이 따라오고 거절도 기록됨","금속 관리","PENDING_SCENE"
"RL-015","크라테르","GA3","","GA7","합의 그릇에 새겨진 명단이 협약의 당사자를 확정한다","명단에 없는 자는 협약 밖에 남는다","명단을 새로 새겨 당사자를 조작할 수 있다","NONE","명단 대조","명단 등재자와 미등재자","명단 밖은 협약 밖 — 이전 개념이 없음","명단 매체 보존","PENDING_SCENE"
"RL-016","텍스툼","GA6","","GA10","짜인 계보 직물이 문자 이전의 족보로 기능한다","훼손되면 복원이 불가능하다","짜임을 고쳐 혈통을 조작할 수 있다","NONE","직조 기법 감정","지역 공동체, 수집가","훼손 시 복원 불가라 이동이 큰 위험","습도·광량 통제","PENDING_SCENE"
