system_id,system_name,macro_region,cluster,primary_node,registered_population_m,main_specialization,secondary_specialization,governance_at_R0,route_profile,GA10_transition_seed,notes
M06-01,Veyara,MIDDLE,Helion Span,L3,55.957,mining,medical transit,Joint Trust,seasonal route,T4 asynchronous,
M06-02,Junoas,MIDDLE,Helion Span,L2,148.471,education,mining,Neutral Charter,industrial branch,T0 synchronized,
M06-03,Veyor,MIDDLE,Helion Span,L3,46.447,repair yards,media,Contested Administration,local relay,T5 contested,
M06-04,Merekorn,MIDDLE,Helion Span,L3,41.311,industrial frames,medical transit,Helix Contract Zone,damaged route,T5 contested,
M06-05,Darineon,MIDDLE,Helion Span,L3,26.517,water processing,regional logistics,Neutral Charter,local relay,T4 asynchronous,
M06-06,Noxessa,MIDDLE,Helion Span,L3,48.489,water processing,salvage,Neutral Charter,single-corridor spur,T1 delegated,
M06-07,Veyorn,MIDDLE,Helion Span,L2,164.449,education,regional logistics,Imperial Province,regional hub,T3 local plural,
M06-08,Halees,MIDDLE,Helion Span,L1,484.515,refining,regional logistics,Contested Administration,trunk corridor,T1 delegated,
M06-09,Noxeon,MIDDLE,Helion Span,L3,47.514,industrial frames,water processing,Neutral Charter,local relay,T2 joint transition,
M06-10,Haleara,MIDDLE,Helion Span,L3,53.534,node services,salvage,Contested Administration,local relay,T0 synchronized,
M06-11,Rina,MIDDLE,Helion Span,L3,32.336,salvage,mixed agriculture,Imperial Province,local relay,T4 asynchronous,
M06-12,Ulenor,MIDDLE,Helion Span,L3,26.311,node services,education,Regional Assembly,single-corridor spur,T1 delegated,
M07-01,Corin,MIDDLE,Tern Relay,L2,141.35,regional logistics,industrial frames,Contested Administration,cross-corridor,T2 joint transition,
M07-02,Amonyr,MIDDLE,Tern Relay,L2,146.565,repair yards,water processing,Joint Trust,cross-corridor,T0 synchronized,
M07-03,Sorinion,MIDDLE,Tern Relay,L3,38.334,medical transit,water processing,Neutral Charter,damaged route,T2 joint transition,
M07-04,Karaora,MIDDLE,Tern Relay,L3,34.614,media,node services,Helix Contract Zone,damaged route,T4 asynchronous,
M07-05,Merekos,MIDDLE,Tern Relay,L2,94.326,repair yards,salvage,Contested Administration,cross-corridor,T4 asynchronous,
M07-06,Corune,MIDDLE,Tern Relay,L1,491.419,refining,education,Imperial Province,multi-region junction,T0 synchronized,
M07-07,Velaeth,MIDDLE,Tern Relay,L2,90.165,education,media,Imperial Province,cross-corridor,T2 joint transition,
M07-08,Pavoes,MIDDLE,Tern Relay,L3,35.386,refining,medical transit,Regional Assembly,damaged route,T6 re-centralized,
M07-09,Hessadia,MIDDLE,Tern Relay,L3,57.431,node services,industrial frames,Helix Contract Zone,local relay,T5 contested,
M07-10,Wrenis,MIDDLE,Tern Relay,L2,101.128,mixed agriculture,water processing,Regional Assembly,cross-corridor,T3 local plural,
