system_id,system_name,macro_region,cluster,primary_node,registered_population_m,main_specialization,secondary_specialization,governance_at_R0,route_profile,GA10_transition_seed,notes
F01-01,Yvenor,FRONTIER,Palimpsest North,L3,15.973,rescue services,salvage,Contested,single-corridor spur,T1 delegated,
F01-02,Caelis,FRONTIER,Palimpsest North,L3,25.423,rescue services,fuel production,Contested,single-corridor spur,T4 asynchronous,
F01-03,Veyis,FRONTIER,Palimpsest North,L3,16.865,rare materials,sensor watch,Mobile Route Covenant,single-corridor spur,T5 contested,
F01-04,Tavaadia,FRONTIER,Palimpsest North,L3,13.164,fuel production,rescue services,Helix Concession,seasonal route,T3 local plural,
F01-05,Bexeth,FRONTIER,Palimpsest North,L3,18.74,rare materials,resource extraction,Contested,local relay,T3 local plural,
F01-06,Veyessa,FRONTIER,Palimpsest North,L3,12.447,route guidance,mobile habitats,Helix Concession,seasonal route,T6 re-centralized,
F01-07,Mirain,FRONTIER,Palimpsest North,L3,25.084,refugee services,local agriculture,Neutral Charter,damaged route,T3 local plural,
F01-08,Quener,FRONTIER,Palimpsest North,L3,17.4,resource extraction,fuel production,Imperial Claim/Local Rule,single-corridor spur,T3 local plural,
F01-09,Erisyr,FRONTIER,Palimpsest North,L3,26.978,rescue services,rare materials,Imperial Claim/Local Rule,local relay,T2 joint transition,
F01-10,Letoos,FRONTIER,Palimpsest North,L3,21.283,resource extraction,refugee services,Mobile Route Covenant,single-corridor spur,T3 local plural,
F01-11,Haleer,FRONTIER,Palimpsest North,L3,26.017,fuel production,mobile habitats,Contested,single-corridor spur,T1 delegated,
F01-12,Sorinyr,FRONTIER,Palimpsest North,L3,25.742,independent fabrication,rare materials,Imperial Claim/Local Rule,seasonal route,T1 delegated,
F01-13,Navaorn,FRONTIER,Palimpsest North,L3,26.494,mobile habitats,small-yard repair,Contested,local relay,T6 re-centralized,
F01-14,Faroen,FRONTIER,Palimpsest North,L3,23.101,mobile habitats,resource extraction,Mobile Route Covenant,single-corridor spur,T4 asynchronous,
F01-15,Tavaora,FRONTIER,Palimpsest North,L3,26.574,route guidance,rare materials,Helix Concession,seasonal route,T3 local plural,
F02-01,Iriaes,FRONTIER,Palimpsest South,L3,15.89,small-yard repair,sensor watch,Contested,seasonal route,T6 re-centralized,
F02-02,Merekora,FRONTIER,Palimpsest South,L3,25.575,rescue services,salvage,Contested,seasonal route,T0 synchronized,
F02-03,Orinara,FRONTIER,Palimpsest South,L3,12.518,rescue services,fuel production,Imperial Claim/Local Rule,seasonal route,T4 asynchronous,
F02-04,Karaia,FRONTIER,Palimpsest South,L3,15.354,mobile habitats,fuel production,Neutral Charter,single-corridor spur,T2 joint transition,
F02-05,Torenorn,FRONTIER,Palimpsest South,L3,25.466,salvage,resource extraction,Independent Compact,local relay,T3 local plural,
F02-06,Tavaen,FRONTIER,Palimpsest South,L3,25.66,rescue services,route guidance,Helix Concession,single-corridor spur,T4 asynchronous,
F02-07,Lioraes,FRONTIER,Palimpsest South,L3,27.585,sensor watch,salvage,Contested,seasonal route,T4 asynchronous,
F02-08,Amona,FRONTIER,Palimpsest South,L2,50.273,rescue services,salvage,Contested,cross-corridor,T4 asynchronous,
F02-09,Ivenune,FRONTIER,Palimpsest South,L3,22.333,sensor watch,local agriculture,Imperial Claim/Local Rule,seasonal route,T1 delegated,
F02-10,Kestiel,FRONTIER,Palimpsest South,L3,16.377,independent fabrication,fuel production,Local Assembly,local relay,T1 delegated,
F02-11,Bexessa,FRONTIER,Palimpsest South,L3,17.189,route guidance,salvage,Neutral Charter,damaged route,T6 re-centralized,
F02-12,Arelara,FRONTIER,Palimpsest South,L3,27.067,route guidance,salvage,Contested,single-corridor spur,T0 synchronized,
F02-13,Areladia,FRONTIER,Palimpsest South,L3,22.782,fuel production,resource extraction,Contested,single-corridor spur,T6 re-centralized,
F02-14,Ivenum,FRONTIER,Palimpsest South,L1,200.328,small-yard repair,rare materials,Helix Concession,multi-region junction,T5 contested,
F02-15,Ivenorn,FRONTIER,Palimpsest South,L3,20.593,rescue services,fuel production,Local Assembly,single-corridor spur,T0 synchronized,
F03-01,Karaar,FRONTIER,Quiet Harbor,L3,15.781,rescue services,sensor watch,Contested,local relay,T4 asynchronous,
F03-02,Xaroara,FRONTIER,Quiet Harbor,L3,25.528,sensor watch,fuel production,Local Assembly,damaged route,T0 synchronized,
F03-03,Ulenan,FRONTIER,Quiet Harbor,L3,15.693,sensor watch,small-yard repair,Independent Compact,damaged route,T3 local plural,
F03-04,Caelen,FRONTIER,Quiet Harbor,L3,22.631,sensor watch,rescue services,Helix Concession,single-corridor spur,T0 synchronized,
F03-05,Yvenis,FRONTIER,Quiet Harbor,L3,20.59,salvage,route guidance,Helix Concession,damaged route,T1 delegated,
F03-06,Navaadia,FRONTIER,Quiet Harbor,L3,23.081,independent fabrication,route guidance,Contested,single-corridor spur,T1 delegated,
F03-07,Darinune,FRONTIER,Quiet Harbor,L3,21.025,route guidance,sensor watch,Contested,damaged route,T5 contested,
F03-08,Quenis,FRONTIER,Quiet Harbor,L3,26.134,independent fabrication,route guidance,Helix Concession,damaged route,T5 contested,
F03-09,Bexeon,FRONTIER,Quiet Harbor,L3,16.89,resource extraction,mobile habitats,Mobile Route Covenant,seasonal route,T0 synchronized,
F03-10,Amonum,FRONTIER,Quiet Harbor,L3,23.835,refugee services,fuel production,Independent Compact,seasonal route,T5 contested,
F03-11,Junoora,FRONTIER,Quiet Harbor,L3,13.971,independent fabrication,resource extraction,Imperial Claim/Local Rule,seasonal route,T2 joint transition,
F03-12,Orinune,FRONTIER,Quiet Harbor,L3,24.833,fuel production,resource extraction,Mobile Route Covenant,single-corridor spur,T0 synchronized,
F03-13,Iriaa,FRONTIER,Quiet Harbor,L3,17.477,rare materials,sensor watch,Helix Concession,single-corridor spur,T2 joint transition,
F03-14,Sorinora,FRONTIER,Quiet Harbor,L3,22.489,rare materials,resource extraction,Neutral Charter,local relay,T6 re-centralized,
F03-15,Liorais,FRONTIER,Quiet Harbor,L3,14.165,small-yard repair,independent fabrication,Helix Concession,single-corridor spur,T0 synchronized,
F04-01,Beliel,FRONTIER,Ash Choir,L3,26.25,salvage,fuel production,Contested,single-corridor spur,T6 re-centralized,
F04-02,Esenessa,FRONTIER,Ash Choir,L3,22.6,independent fabrication,rare materials,Helix Concession,local relay,T6 re-centralized,
F04-03,Hesseon,FRONTIER,Ash Choir,L3,19.468,rare materials,rescue services,Helix Concession,single-corridor spur,T4 asynchronous,
F04-04,Junoara,FRONTIER,Ash Choir,L3,26.814,rescue services,local agriculture,Helix Concession,seasonal route,T2 joint transition,
F04-05,Velaas,FRONTIER,Ash Choir,L3,25.279,small-yard repair,salvage,Imperial Claim/Local Rule,single-corridor spur,T5 contested,
F04-06,Esenion,FRONTIER,Ash Choir,L3,15.561,fuel production,rescue services,Independent Compact,single-corridor spur,T4 asynchronous,
F04-07,Zareketh,FRONTIER,Ash Choir,L3,21.628,refugee services,mobile habitats,Independent Compact,damaged route,T2 joint transition,
F04-08,Kestes,FRONTIER,Ash Choir,L3,27.521,refugee services,independent fabrication,Helix Concession,damaged route,T5 contested,
