"item_id","name","first_reveal","subact","final_payoff","plot_use","limit_cost","misuse_risk","related_mystery","ammunition","certification","resupply","service_interval","signature","first_scene","texture_status"
"WA-001","열절단창","GA1","A2","GA10","07호가 파괴가 아니라 여는 것으로 싸운다는 개막 선언","열이 쌓여 연속 사용이 불가능하고 절단면이 구조를 약화시킨다","선체를 열면 안의 사람도 진공에 노출된다","M-003","탄약 없음. 축열 한계로 1회 절단 후 90초 냉각","학원이 훈련 용도로만 서명한다. 실전 사용은 별도 서명이 필요하고 아직 아무도 안 했다","냉각제만 소요, 일반 정비창","절단날 20회마다 교체","절단면이 매끈하지 않고 가장자리가 푸르게 남는다. 쓴 뒤 구십 초는 손을 못 댄다","아직 원고에 실사용 없음 — A2 안에서 열리는 것으로 싸운다는 선언만 서 있다","SCENE_PENDING_IN_ARC"
"WA-002","케이블 사출기","GA1","A2","GA10","구조와 포획을 같은 동작으로 수행한다","한 번 쏘면 회수에 시간이 걸리고 장력 한계가 있다","사람을 붙잡는 도구는 사람을 끌어내는 도구이기도 하다","NONE","케이블 4본 적재, 1본 회수에 40초","구조 장비로 분류돼 병기 인증 자체를 받지 않는다","케이블은 규격품, 어디서나 조달","장력 시험 매 출격 전","쏘고 나면 회수하는 사십 초가 그대로 무방비 시간이 된다","아직 원고에 실사용 없음 — 구조와 포획이 같은 동작이라는 점만 등록돼 있다","SCENE_PENDING_IN_ARC"
"WA-003","저속 훈련 투사기","GA1","A2","GA3","살상 없이 제압이 가능하다는 것을 보이고, 동시에 그 한계도 보인다","실전 장갑에는 통하지 않는다","비살상이라는 이유로 남용된다","NONE","저속탄 60발, 재장전 12초","훈련장 밖으로 나가면 서명이 효력을 잃는다","학원 보급창 직배","총열 300발마다 검사","맞아도 장갑이 우그러지지 않는다. 소리만 크고 자국은 얕다","아직 원고에 실사용 없음 — 살상 없이 제압한다는 것과 그 한계를 함께 보일 자리","SCENE_PENDING_IN_ARC"
"WA-004","방패판","GA1","A2","GA6","막는 선택이 곧 누구를 뒤에 둘지의 선택이 된다","한 방향만 막고 시야를 가린다","방패 뒤에 설 사람을 고르는 권한이 생긴다","NONE","소모품 아님. 피격 누적으로 판정","구조 부재로 인증돼 있어 개조하는 순간 인증이 사라진다","판재 교체는 도크 작업","피격 3회 후 비파괴 검사","한 방향만 막는다. 든 쪽 시야가 그만큼 죽는다","아직 원고에 실사용 없음 — 막는 선택이 누구를 뒤에 두는 선택이 되는 자리","SCENE_PENDING_IN_ARC"
"WA-005","포르켑스","GA3","","GA8","아르디스 공방이 만든 집게식 개방구가 구조 표준이 된다","힘이 세서 대상을 부술 수 있다","구조 장비가 강제 진입 장비가 된다","NONE","탄약 없음. 유압 사이클 200회 후 압력 저하","중장비 취급 면허 보유자만 조작할 수 있다","유압유는 헬릭스 규격품","실린더 정밀 검사 6개월","","","PENDING_SCENE"
"WA-006","토메우스","GA3","","GA9","인증 봉인을 자르는 순간 합법성이 쟁점이 된다","자른 봉인은 복구되지 않고 기록이 남는다","증거 봉인을 자르면 증거가 무효화된다","M-008","절단 카트리지 8발, 재장전 불가 — 출격 단위 소모","봉인 해제 권한을 가진 사람이 동석해야 인증이 유지된다","카트리지 제조처 3곳뿐","카트리지 교체가 곧 정비","","","PENDING_SCENE"
"WA-007","호그바","GA5","","GA9","인증 없는 개조품이 잔해장 해체의 실무 표준이 된다","인증이 없어 공식 작업에 못 쓴다","무단 해체로 남의 재산을 뜯는다","NONE","탄약 없음. 연속 작업 25분 후 과열","인증이 없다. 공식 작업 기록에 올릴 수 없고, 쓴 사실도 적을 수 없다","변경 공방 자체 제작","정해진 주기 없음. 고장 나면 고침","","","PENDING_SCENE"
"WA-008","개방규격 카빈","GA2","","GA10","개방규격이 무장에도 적용된다는 첫 증거","성능이 평범하고 개조 편차가 크다","누구나 만들 수 있다는 것은 적도 만든다는 뜻이다","M-016","개방규격탄 90발, 재장전 6초","개방규격 자율 인증 — 상대가 그 규격을 인정해야 성립한다","개방규격 취급 공방 어디서나","개체 편차로 주기가 다름","","","PENDING_SCENE"
"WA-009","사기타","GA1","A4","GA7","제국 양산 기체의 표준 무장으로 물량의 얼굴이 된다","탄약 인증이 제국 보급망에 묶인다","노획해도 사격통제가 안 붙는다","NONE","제국 표준탄 120발, 재장전 5초","제국 병기청 인증. 인증 없이 소지하면 압수 대상이다","제국 보급창 전용, 민간 유통 금지","1,000발마다 총열 교체","","","PENDING_SCENE"
"WA-010","베루툼","GA4","","GA8","계승 분쟁기의 근접 관통 무장","한 번 박히면 회수에 시간이 든다","의장용으로 위장해 반입할 수 있다","M-011","관통 말뚝 6본, 회수에 본당 3분","제국 병기청 인증에 사용 보고 의무가 붙는다","제국 보급창 + 인가 계약사","말뚝 사출부 500회 점검","","","PENDING_SCENE"
"WA-011","톡손","GA3","","GA9","헬릭스 인증 시설 경비의 표준","비인증 부품을 거부해 야전 수리가 안 된다","인증 만료만으로 무장 해제된다","M-016","제국 표준탄 벨트 급탄. 비인증 부품을 계통이 스스로 거부한다","제국 병기청 인증","제국 보급창 전용","비인증 부품 차단 탓에 야전 정비가 막힌다","","","PENDING_SCENE"
"WA-012","게이르","GA3","","GA9","노획 부품 혼용이 변경의 생존 방식임을 보인다","탄종 불일치가 상시적이고 폭발 위험이 있다","불량 탄으로 사용자가 죽는다","NONE","혼용탄 150발 — 탄종 불일치 시 급탄 실패","인증 없음. 진영마다 기준이 달라 어느 기준으로도 통과하지 못한다","노획·자체 제작 혼재","탄약고 폭발 위험으로 매 출격 후 점검","","","PENDING_SCENE"
"WA-013","레굴라","GA3","","GA10","공방마다 품질이 다른 지역 방위 무장","같은 이름의 물건이 성능이 다르다","불량품을 정품으로 팔 수 있다","NONE","규격탄 100발이나 제조처마다 장약이 다름","이름은 규격이나 실효 인증이 없어 제조처마다 다른 물건이 나온다","복수 제조처, 품질 편차 큼","제조처별로 주기가 다름","","","PENDING_SCENE"
"WA-014","6연장 팩","GA5","","GA10","개방규격 외부 장착이 임시 화력을 준다","무게중심이 바뀌고 재장전이 불가능하다","민간 기체에 달아 무장화할 수 있다","NONE","6발 일제, 재장전 불가 — 사출 후 팩 투기","중량물 장착 인증이 필요하고 기체 쪽 인증도 함께 갱신해야 한다","팩 단위 보급, 부피가 큼","장착부 하중 검사 매 회","","","PENDING_SCENE"
"WA-015","님부스","GA4","","GA8","제국 포화 사격의 얼굴","조준 정밀도가 낮아 부수 피해가 크다","거주 구역 근처에서 쓰면 학살이 된다","NONE","무유도탄 24발, 재장전 20초","제국 병기청 인증에 부수 피해 보고 의무가 붙는다","제국 보급창","발사관 100발마다 검사","","","PENDING_SCENE"
