"slot_id","lineage_id","record_type","formal_code","working_name_en","working_name_ko","story_anchor","canon_basis_type","canon_basis_ref","first_reveal_window","reader_tier","role","silhouette_key","chassis_evidence","major_system_changes","scale_band","cradle_and_carrier","cooling_and_recovery","maintenance_band","primary_tool_or_weapon","tech_basis","discovery_clue","acquisition_gate","synergy_partner","completion_legacy","counter_collection_risk","loss_cost","evolution_relation","canon_status","name_clearance","canon_promotion"
"M-001","L01","VERIFIED_ENTITY","AUX-07","07","07호","OPENING_PROTAGONIST_FRAME","DIRECT_CANON_ENTITY","docs/03_systems/academy-and-07-opening-operational-state-v1.md:52","E1-E20","FRONT","mixed training service capture rescue","narrow inspection core|large service hands|asymmetric radiator gap","EXISTING_CANON_FRAME","EXISTING_CANON_SYSTEMS","CANON_DIMENSION_CONFLICT_HOLD","FIRST_SHIP_PRIMARY_CRADLE_07_ONLY","existing ship cooling|towed or cradle recovery","CANON_BASELINE_EXACT_ROLE_HOLD","one principal opening weapon|service tools","EXISTING_CANON_TOOLSET","red disposal band|mismatched service parts","academy assignment|pilot qualification|shared authority","crew and service tools|later open-standard adapters","public training and distributed service lineage","enemy studies open interfaces|authority capture","heat|parts|rights conflict|eventual combat retirement","BASE_ENTITY","CANON_ENTITY","LOCKED_NAME_DIMENSION_HOLD","NONE"
"M-002","L01","CHASSIS_SLOT","AD-OS-3.2","SOLVERN","솔베른","GA3_FIRST_MASS_DERIVATIVE_SLOT","EXPLICIT_FRAMEWORK_SLOT","docs/10_story_architecture/1000-episode-grand-act-map-v1.md:288","GA3","FRONT","open-standard mass derivative","open bridge chest|service void|balanced field legs","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|HEAT","STANDARD_9_14M_PROPOSED","STANDARD_CRADLE_PROPOSED|NOT_FIRST_SHIP_CARRIED","field-coupled cooling|towed recovery","CANON_4_12_EXACT_ROLE_HOLD","modular restraint carbine|service blade","EXISTING_PHYSICAL_TOOLSET_PROPOSED","familiar 07 interface in a symmetric production body","production trust|workshop certification|public documentation","Ardis work frames|neutral rescue frames","regional forks remain repairable without one owner","enemy copies public adapters|quality records manipulated","enemy adaptation|quality variance|public liability","INHERIT_AUX_PRINCIPLE_NOT_BODY","PROPOSED_EXPLICIT_SLOT","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-003","L01","CHASSIS_SLOT","AD-RS-4.1","TAVEN","타벤","GA10_REGIONAL_07_DERIVATIVE_SLOT","EXPLICIT_LINEAGE_GENERIC_MODEL","docs/10_story_architecture/detail/ga10-e1051-1060-episode-cards-v1.md:127","GA10","SUPPORT","regional rescue and education","protected sensor box|oversize rescue hands|low cradle back","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","STANDARD_9_14M_PROPOSED","REGIONAL_SERVICE_CRADLE_PROPOSED|NOT_FIRST_SHIP_CARRIED","low-temperature service loop|tow-bar recovery","CANON_4_12_EXACT_ROLE_HOLD","tow cable|cutting and sealing tools","EXISTING_PHYSICAL_TOOLSET_PROPOSED","school markings reveal reused open-standard ports","regional license|school and rescue authority|local cradle","medical frame|route-repair frame|civilian crews","training records and rescue access outlive combat use","hostile fork spoofs public training interfaces","reduced combat certification|regional maintenance debt","INHERIT_SOLVERN_OPEN_STANDARD","PROPOSED_GENERIC_FRAMEWORK","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-004","L01","CHASSIS_SLOT","AD-RM-5.0","MORIK","모릭","GA10_REGIONAL_07_DERIVATIVE_SLOT","EXPLICIT_LINEAGE_GENERIC_MODEL","docs/10_story_architecture/detail/ga10-e1051-1060-episode-cards-v1.md:127","GA10","SUPPORT","remote maintenance and route repair","long service forearms|open calf bays|offset tool rack","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|HEAT|ARMOR_SUPPORT","WORK_FRAME_PROPOSED","REGIONAL_WORK_BAY_PROPOSED|NOT_FIRST_SHIP_CARRIED","external coolant hookups|tow-bar recovery","CANON_4_12_EXACT_ROLE_HOLD","anchor driver|remote repair manipulators","EXISTING_PHYSICAL_TOOLSET_PROPOSED","open calf bays expose a local fork of 07 service grammar","route compact|local spares|operator training","TAVEN rescue crews|Ardis relay frames","repair manuals become a regional public utility","enemy targets toolchain and route depots rather than frame","low combat survivability|tool-chain loss","INHERIT_SOLVERN_OPEN_STANDARD","PROPOSED_GENERIC_FRAMEWORK","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-005","L02","CHASSIS_SLOT","IR-B24-01","VARDEN","바르덴","IMPERIAL_STANDARD_FORCE_FRAMEWORK","GENERIC_FORCE_FRAMEWORK","docs/07_military/grand-act-force-holdings-and-readiness-matrix-v1.md:30","GA1_E21_E100","FRONT","imperial fleet mass unit","nested chest arches|aligned knees|low roof sensor","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|WEAPON_SUPPORT","STANDARD_9_14M_PROPOSED","IMPERIAL_STANDARD_CRADLE_PROPOSED|NOT_FIRST_SHIP_CARRIED","carrier quick-coupler|fleet recovery clamp","CANON_4_12_EXACT_ROLE_HOLD","formation carbine|capture shield","EXISTING_CONVENTIONAL_WEAPON_SET_PROPOSED","repeated arch silhouette appears before unit code","imperial certification|carrier cradle|supply hierarchy","NEVRIS recon|CALDRIX command","service records expose the cost of centralized standardization","command keys and supply manifests can be captured","command-link loss|nonstandard spares rejected","BASE_LINEAGE","PROPOSED_GENERIC_FRAMEWORK","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-006","L02","CHASSIS_SLOT","IR-C27-01","CALDRIX","칼드릭스","IMPERIAL_COMMAND_DOCTRINE_FRAMEWORK","GENERIC_FORCE_FRAMEWORK","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:85","GA2","FRONT","formation command and docking control","taller second arch|recessed command mast|broad stable pelvis","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|HEAT","STANDARD_9_14M_PROPOSED","IMPERIAL_COMMAND_CRADLE_PROPOSED|NOT_FIRST_SHIP_CARRIED","dedicated signal cooling|fleet recovery clamp","CANON_4_12_EXACT_ROLE_HOLD","precision carbine|existing docking-control link","EXISTING_COMMUNICATION_AND_WEAPON_SET_PROPOSED","second chest arch and signal mast identify command burden","command authority|network key|dedicated signal crew","VARDEN formation|NEVRIS recon","captured command logs reveal fleet decision chains","enemy decoys corrupt shared picture|authority key theft","authority fracture|signal exposure|high crew burden","INHERIT_VARDEN_LINEAGE","PROPOSED_GENERIC_FRAMEWORK","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-007","L02","CHASSIS_SLOT","IR-H31-01","TALVOR","탈보르","GA4_SUCCESSION_FORCE_FRAMEWORK","GENERIC_FORCE_FRAMEWORK","docs/07_military/grand-act-force-holdings-and-readiness-matrix-v1.md:218","GA4","FRONT","heavy breach inside a formation-opened capture window","deep double arch torso|short thick limbs|load shoulders","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|HEAT|ARMOR_SUPPORT","HEAVY_14_20M_PROPOSED","HEAVY_CRADLE_PROPOSED|NOT_FIRST_SHIP_CARRIED","high-flow tender cooling|heavy tow recovery","ABOVE_CANON_BASELINE_HOLD","breach ram|short heavy gun","EXISTING_PHYSICAL_BREACH_SET_PROPOSED","double arch appears inside a succession force dock","heavy cradle|cooling tender|breach warrant","CALDRIX command|VARDEN screen","breach doctrine survives only with accountable warrants and tenders","enemy destroys tender or forges breach authority","short thermal window|poor precision handling","INHERIT_VARDEN_LINEAGE","PROPOSED_GENERIC_FRAMEWORK","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-008","L02","CHASSIS_SLOT","IR-E18-01","NEVRIS","네브리스","GA3_IMPERIAL_DIRECT_CONTROL_SLOT","EXPLICIT_OPERATIONAL_FORCE_SLOT","docs/10_story_architecture/detail/ga3-e271-277-episode-cards-v1.md:289","GA3","SUPPORT","reconnaissance and electronic denial","thin nested collar|long sensor cuffs|narrow calves","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","STANDARD_9_14M_PROPOSED","IMPERIAL_SENSOR_CRADLE_PROPOSED|NOT_FIRST_SHIP_CARRIED","sensor-loop cooling|light fleet recovery clamp","CANON_4_12_EXACT_ROLE_HOLD","sensor array|decoy dispensers|light carbine","EXISTING_SENSOR_EW_SET_PROPOSED","thin arch silhouette and unusual calibration traffic","classified software|calibration team|secure telemetry","CALDRIX command|VARDEN formation","data logs teach counters but reveal imperial surveillance scope","enemy injects false tracks|captures calibration library","weak close capture|data compromise","INHERIT_VARDEN_LINEAGE","PROPOSED_EXPLICIT_SLOT","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-009","L02","CHASSIS_SLOT","IR-G22-01","ORDRIC","오드릭","GA4_PALACE_CONTINUITY_SECURITY_SLOT","GENERIC_FORCE_FRAMEWORK","docs/07_military/grand-act-force-holdings-and-readiness-matrix-v1.md:218","GA4","FRONT","royal and continuity guard interception","closed face roof|triple cuff arches|compact guard pack","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|ARMOR_SUPPORT","STANDARD_9_14M_PROPOSED","PALACE_GUARD_CRADLE_PROPOSED|NOT_FIRST_SHIP_CARRIED","sealed-loop cooling|secure-yard recovery","CANON_4_12_EXACT_ROLE_HOLD","intercept blade|capture shield|mechanical restraint cable","EXISTING_PHYSICAL_CAPTURE_SET_PROPOSED","triple cuff arches identify a unit before its allegiance is clear","palace authority|elite maintenance|secure cradle","continuity seizure teams|VARDEN mass screen","custody history exposes institutional splits instead of heroic ownership","competing claimants seize codes and maintenance staff","institutional split|specialized parts|political liability","INHERIT_VARDEN_LINEAGE","PROPOSED_GENERIC_FRAMEWORK","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-010","L03","CHASSIS_SLOT","HX/SC-12.C4","HEXAR","헥사르","HELIX_SECURITY_FORCE_FRAMEWORK","GENERIC_FORCE_FRAMEWORK","docs/07_military/grand-act-force-holdings-and-readiness-matrix-v1.md:38","GA1_E21_E100","FRONT","certified facility security","hex sensor cassette|three service cells|60-degree windows","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|ARMOR_SUPPORT","STANDARD_9_14M_PROPOSED","HELIX_CERTIFIED_CRADLE_PROPOSED|NOT_FIRST_SHIP_CARRIED","licensed coolant cassette|facility recovery cart","CANON_4_12_EXACT_ROLE_HOLD","security carbine|seal clamps","EXISTING_CONVENTIONAL_SECURITY_SET_PROPOSED","hex inspection windows reveal service grade before faction name","active service contract|certified pilot|facility map","NACEL service|KELTIS quarantine","service history exposes lock-in and hidden contract tiers","certificate revocation|counterfeit service parts","vendor lock-in|noncertified part rejection","BASE_LINEAGE","PROPOSED_GENERIC_FRAMEWORK","PENDING_MULTI_MARKET_CLEARANCE","NONE"
