identity_key,korean_name,other_names_or_codes,record_type,final_tier,ga_window,faction_or_org,function_summary,tier_evidence,source_docs,alias_merge_hints,aliases
rian-calder,리안 칼데르,P-001,PERSON,PROTAGONIST,GA1-10,교도학원→공동함대→전환조정,회귀 주인공; 생도→에이스→한정 원정지휘→GA9 18h 중앙키→GA10 60일 전환 명령작곡가→상비키 없는 시민,master-series-chronology §4; ga10-e1076-1100 §2; ga9-e976-1000 §2,name-lock; chronology; checkpoint-matrix; 전 GA 캐스트 문서군,전 배치의 P-001/Rian/Rian Calder 동일 확정; errata-005 개명 이력(카르도→칼데르),P-001; Rian; Rian Calder; 리안 카르도(구명); Transitional Composer(한시)
haren-doan,하렌 도안,H-001,PERSON,CORE_ALLY,GA1-10,보호공동체→상호항로연합,병참·항로 천재 생도; 항로연합 설계자; GA7 D4 서명·유죄판결·제재(14개월형·12년 지휘금지·15년 배상); GA10 선출 조정위원; 원 시간선 피의 제독 축,checkpoint-matrix H-001 표; errata-004; ga7-e741-765 §1,name-lock; checkpoint-matrix; h001-bible; ga7 문서군; ga10 문서군,H-001=Haren=하렌 도안 확정(checkpoint·rian-index 코어 명단); GA7 이후 도덕적 적대축 겸직 — 최고 반복성 기준 CORE_ALLY 유지,H-001; Haren; 항로조정관; 피의 제독(부과 라벨); Route Emergency Executor 10-3-2(한시); D4 holder(전)
nera-vick,네라 비크,H-002,PERSON,CORE_ALLY,GA1-10,개방정비·기술공유망,07 개조 책임·개방규격 설계자; 인증 대 즉흥개조 갈등축; GA10 기술·안전 보드; 공식 실종기록은 저작권 폐쇄 이벤트,checkpoint-matrix H-002 표; e45 §7; ledger §34,name-lock; checkpoint-matrix; h002-bible; e45-incident; officeholders-ledger,H-002=Nera=네라 비크 확정; ENG-001은 베라 토른에게 귀속(비크 아님),H-002; Nera; Nera Vick; 네라 빅(표기변형); 열두 함대의 설계자
serin-or,세린 오르,S-001,PERSON,CORE_ALLY,GA1-10,기록·출처·감사,기록감사자·Authority F 번역 수탁자; 강요 정보원 전력의 공모-속죄 아크; GA10 기록·출처 도메인 조정자,chronology §5 S-001; student-s001-bible; ledger §34,name-lock; chronology; student-s001-bible; e45-incident; officeholders-ledger,S-001=Serin=세린 오르 확정; GA5 관계락의 Serin 병합,S-001; Serin; 기록감사자; 권한 F 다원출처 번역자
mia-lentz,미아 렌츠,M-001,PERSON,CORE_ALLY,GA1-10,의료·최소서비스,의무·구조 생도; 의료중지권 보유; GA10 의료 최소선 도메인 조정자,chronology §5 M-001; student-m001-bible; ledger §34,name-lock; chronology; student-m001-bible; officeholders-ledger,M-001=Mia=미아 렌츠 확정; GA3/GA5 관계락의 Mia 병합; 소렌 미아→소렌 비아 개명으로 충돌 해소,M-001; Mia; Mia Lentz; 변경 응급의료관
ern-varka,에른 바르카,E-001,PERSON,CORE_ANTAGONIST_RIVAL,GA1-10,독립·해방망(Liberation Network),독립 해방 작전가·적 에이스; 리안에 결코 종속되지 않는 동맹·경쟁 축; White Dock 미발포 진실 보유; GA10 프런티어·이동측 전환 행위자,chronology §5 E-001(never P-001 subordinate); e001-bible §1·§6,name-lock; chronology; checkpoint-matrix; e001-bible; white-dock-focals; officeholders-ledger,E-001=Ern Varka 최종 잠금(checkpoint); 백선/White Line은 호출부호(e001-bible 잠정) — 동일인 병합; rian-index 코어 명단 포함이나 독립 라이벌 축 유지,E-001; Ern; 백선; White Line(호출부호); enemy ace; 독립항로 운항자
isa-bell,이사 벨,AU-H; CLM-04,PERSON,CORE_ANTAGONIST_RIVAL,GA4-10,아우렐 연속성 관리국,아우렐 인간 집행관(GA4 전면); 문명연속성수탁자 청구축; GA8 경계 있는 시드 승인; GA9 강경 남용 반대; GA10 첫 이양 실패 후 사임,aurel-timeline §4-5; ledger §5; succession-table §2,aurel-timeline; a001; ga4-frontstage-claimants; ga4-final; officeholders-ledger; succession-table,a001의 미명명 인간 국장=이사 벨(aurel-timeline GA4 잠금); CLM-04 확정 인물(succession-table Isa/Aurel Custodian); GA5-7 Aurel/Isa Bell 병기 병합; UNCERTAIN — CLM-04 귀속은 정본이 'A-001 또는 이전 재직자'로 열어둠(imperial-succession-law §CLM-04). 확정 아님,Isa Bell; AU-H; CLM-04; 문명연속성수탁자; 아우렐 인간 국장
aven-rho,아벤 로,A-001(GA8-10 현직); Continuity Director,PERSON,CORE_ANTAGONIST_RIVAL,GA8-10,연속성청→보존회랑연합,인간 연속성 국장; E876 Seed Bridge 활성화 주도·분리권한 위반; GA9 엔클레이브 아키텍트; GA10 검토받는 일반 기여자로 종결,ga8-e869-875 카드(A-001 named Aven Rho); ga8-e876-900; ga9·ga10 문서군,ga8 문서군; ga9 문서군; ga10 문서군; ga7-route-war-leaders,A-001=Aven Rho 명시(ga8 카드); 아벤 로/에이븐 로 한글 표기 혼재; Aven Rell(GA1)과 별개; Isa Bell과의 직위 승계 관계는 미해결,Aven Rho; A-001; Continuity Director; 아벤 로; 에이븐 로(표기변형)
elian-arzen,엘리안 아르젠,C-HEIR-001; CLM-01,PERSON,CORE_ANTAGONIST_RIVAL,GA4-10,황조 계승계/크라운,등록 왕조 상속자; 제위 청구 4축의 왕관 정통성 축; Compact v1 하 Crown Reference Office 초대 재임자; 에필로그까지 헌법적 청구자,name-lock §6; ga4-final §1; ledger §2,name-lock; ga4-frontstage-claimants; ga4-final; ga5 문서군; officeholders-ledger; succession-table,CLM-01 확정 인물(자격 일치); Elian Argen은 표기 변형; GA5 관계락 Elian/Crown 병합,Elian Arzen; Elian Argen(표기); C-HEIR-001; CLM-01; Registered Heir; 등록계승자; Crown Reference occupant
mara-velen,마라 벨렌,C-REG-001; CLM-02,PERSON,CORE_ANTAGONIST_RIVAL,GA4-10,민정 행정부,지명 섭정·수석 민정관; 청구 4축의 행정 역량 축; GA6 이후 협약 조정자로 축소; 에필로그 헌법 자문,name-lock §6; ga4-final §2; ledger §3,name-lock; ga4-frontstage-claimants; ga4-final; officeholders-ledger; succession-table,CLM-02 확정 인물(succession-table Mara/Regency),Mara Velen; C-REG-001; CLM-02; Designated Regent; 지명섭정
