system_id,system_name,macro_region,cluster,primary_node,registered_population_m,main_specialization,secondary_specialization,governance_at_R0,route_profile,GA10_transition_seed,notes
F08-01,Amonor,FRONTIER,Hollow Lantern,L3,21.259,resource extraction,fuel production,Local Assembly,damaged route,T4 asynchronous,
F08-02,Esenos,FRONTIER,Hollow Lantern,L3,12.442,local agriculture,rare materials,Local Assembly,single-corridor spur,T5 contested,
F08-03,Velaara,FRONTIER,Hollow Lantern,L2,66.653,rare materials,rescue services,Imperial Claim/Local Rule,regional hub,T5 contested,
F08-04,Haleeon,FRONTIER,Hollow Lantern,L3,24.278,refugee services,local agriculture,Mobile Route Covenant,damaged route,T1 delegated,
F08-05,Ravelas,FRONTIER,Hollow Lantern,L3,25.454,rescue services,independent fabrication,Independent Compact,single-corridor spur,T6 re-centralized,
F08-06,Torenara,FRONTIER,Hollow Lantern,L3,20.837,fuel production,rare materials,Independent Compact,seasonal route,T3 local plural,
F08-07,Faroes,FRONTIER,Hollow Lantern,L3,25.863,route guidance,rescue services,Imperial Claim/Local Rule,local relay,T4 asynchronous,
F08-08,Erisa,FRONTIER,Hollow Lantern,L3,21.223,route guidance,fuel production,Contested,single-corridor spur,T2 joint transition,
F08-09,Amonadia,FRONTIER,Hollow Lantern,L3,17.337,local agriculture,small-yard repair,Helix Concession,local relay,T2 joint transition,
F08-10,Letoin,FRONTIER,Hollow Lantern,L3,21.687,salvage,independent fabrication,Local Assembly,single-corridor spur,T4 asynchronous,
F08-11,Darineth,FRONTIER,Hollow Lantern,L3,20.267,local agriculture,salvage,Helix Concession,single-corridor spur,T5 contested,
F08-12,Lioraia,FRONTIER,Hollow Lantern,L3,18.852,rare materials,independent fabrication,Neutral Charter,single-corridor spur,T6 re-centralized,
F08-13,Hession,FRONTIER,Hollow Lantern,L2,68.81,sensor watch,rescue services,Imperial Claim/Local Rule,cross-corridor,T3 local plural,
F08-14,Xaroora,FRONTIER,Hollow Lantern,L3,26.356,refugee services,sensor watch,Mobile Route Covenant,seasonal route,T5 contested,
F08-15,Kestia,FRONTIER,Hollow Lantern,L3,15.927,sensor watch,salvage,Imperial Claim/Local Rule,damaged route,T4 asynchronous,
F09-01,Navaara,FRONTIER,Drift Crown,L3,15.373,sensor watch,resource extraction,Mobile Route Covenant,damaged route,T2 joint transition,
F09-02,Noxeth,FRONTIER,Drift Crown,L3,24.578,route guidance,local agriculture,Helix Concession,single-corridor spur,T4 asynchronous,
F09-03,Darinum,FRONTIER,Drift Crown,L3,22.686,refugee services,rare materials,Local Assembly,seasonal route,T6 re-centralized,
F09-04,Zarekes,FRONTIER,Drift Crown,L3,12.471,independent fabrication,mobile habitats,Contested,seasonal route,T3 local plural,
