"item_id","name","first_reveal","subact","final_payoff","plot_use","limit_cost","misuse_risk","related_mystery","texture_status"
"N-001","K-13 / 제13학원","GA1","A1","GA8","교도군사학원로서 그 대액트의 무대가 된다","생도·교직·계약 검사원만 상주하고 그 밖의 체류는 학원 서명이 있어야 하며, 서명한 교관이 사고 책임을 함께 진다","학원이 생도를 규격 안에 두려고 외부 접촉을 차단하면 보호가 격리가 된다","NONE","PENDING_SCENE"
"N-002","백색 도크","GA1","B1","GA8","개막 전장·야드로서 그 대액트의 무대가 된다","도크 슬롯이 유한해 한 기체가 들어오면 다른 기체의 정비 일정이 밀리고, 밀린 쪽은 기록에 남지 않는다","우선배정 권한을 가진 쪽이 경쟁 조를 합법적으로 지연시킬 수 있다","NONE","PENDING_SCENE"
"N-003","루멘","GA1","B4","GA9","간선·교통 허브로서 그 대액트의 무대가 된다","수도권 항로세가 높아 소형 선사는 정기 취항을 유지하지 못한다","관문 심사를 늦추는 것만으로 특정 세력의 보급을 말려 죽일 수 있다","NONE","PENDING_SCENE"
"N-004","카엘","GA1","A3","GA10","청구·공방 항구로서 그 대액트의 무대가 된다","제국 등록과 지역 의회가 같은 항만을 각각 관리해 접안 허가가 두 번 필요하다","두 관할이 서로에게 책임을 미루면 사고 피해자가 어디에도 접수되지 않는다","M-019","PENDING_SCENE"
"N-005","브란","GA1","A3","GA10","산업 계통로서 그 대액트의 무대가 된다","광물 반출 계약이 주민 총회 승인을 요구해 협상이 계절 단위로 걸린다","총회를 매수하면 주민 다수의 반대에도 반출이 합법이 된다","M-019","PENDING_SCENE"
"N-006","네리스","GA1","C2","GA10","공방·시장 노드로서 그 대액트의 무대가 된다","농업 성계라 수확기에는 노동력과 수송이 전부 그쪽으로 묶인다","기근을 만들 수 있는 쪽이 정치적 요구를 통과시킬 수 있다","M-019","PENDING_SCENE"
"N-007","마른","GA1","C4","GA10","잔해장·인양 성계로서 그 대액트의 무대가 된다","정박 시설이 없어 선외 작업으로만 보급하고, 작업자 피폭 시간이 곧 체류 한도다","구조 요청을 받고도 피폭 한도를 이유로 합법적으로 회항할 수 있다","M-019","PENDING_SCENE"
"N-008","실렉스","GA1","B3","GA10","손상된 우회로로서 그 대액트의 무대가 된다","규소 채굴장이 무등록 노동에 의존해 사고 사망자가 명부에 오르지 않는다","명부에 없는 사람을 쓰면 사고 통계가 깨끗해진다","M-019","PENDING_SCENE"
"N-009","아르디스","GA1","D1","GA10","노드 도시·성계로서 그 대액트의 무대가 된다","헬릭스 채권과 지역 자치가 같은 산업 기반을 두고 다투어 어느 쪽과 맺은 계약도 다른 쪽이 부인한다","채권 회수를 명분으로 생활 기반 시설을 정지시킬 수 있다","M-019","PENDING_SCENE"
"N-010","팔림프세스트","GA1","C3","GA10","GA8 기록 지역로서 그 대액트의 무대가 된다","기록층이 여러 겹이라 발굴이 곧 상층 훼손이고, 무엇을 남길지 결정할 권한자가 없다","아래층을 읽겠다며 위층 주민의 현재 기록을 지울 수 있다","M-019","PENDING_SCENE"
"N-011","티리스","GA4","","GA9","계승 의례가 열리는 궁정 성계로서 그 대액트의 무대가 된다","황실 관할이라 민간 선박은 사전 청원 후 지정 창구로만 진입한다","청원 기록 자체가 누가 무엇을 알고 싶어 했는지의 명부가 된다","NONE","PENDING_SCENE"
"N-012","아르켈","GA9","","GA9","중앙 기록·색인 소재지로서 그 대액트의 무대가 된다","계승 기록 보관지라 접근이 신원 인증에 묶이고 인증 실패는 곧 존재 부정이다","인증 기준을 쥔 쪽이 특정인의 계승 자격을 소급 삭제할 수 있다","NONE","PENDING_SCENE"
"N-013","발다스","GA5","","GA9","함대 사령·조선 집중지로서 그 대액트의 무대가 된다","함대 주둔지라 민간 통행이 훈련 일정에 종속된다","훈련을 상시화하면 봉쇄 선언 없이 항로를 닫을 수 있다","NONE","PENDING_SCENE"
"N-014","코르나","GA4","","GA9","재정·조세 중심로서 그 대액트의 무대가 된다","조선소 물량이 제국 발주로 채워져 민간 수리는 무기한 후순위다","발주를 늘리는 것만으로 경쟁 세력의 함선 유지를 마비시킬 수 있다","NONE","PENDING_SCENE"
