"slot_id","inventory_state","manufacturing_scale","mission_role_class","story_status_policy","formal_layer","normal_assignment","named_core_eligibility","solo_limit","allowed_solo_effect","completion_actor","support_gate","canon_status"
"M-001","CANON_EXISTING","SINGLE_HULL","PROTAGONIST_MISSION","HULL_INSTANCE_LEDGER_ONLY","ELEMENT_TO_FLIGHT_GROWTH","MISSION_ASSET_NOT_PERMANENT_SQUADRON_GA1_GA2","C01_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","ONE_LOCAL_POSITION_CAPTURE_OR_RESCUE_WINDOW","MISSION_FLIGHT_LOCAL_TEAMS_AND_RECOVERY","CRADLE|MAINTAINERS|COOLING|RECOVERY","PROPOSED_NONCANON_MAPPING"
"M-002","PROPOSED_SLOT","HIGH_VOLUME_SERIES","LINE_COMBAT","HULL_INSTANCE_LEDGER_ONLY","SQUADRON_LINE","LINE_SCREEN_AND_ROTATION","YES_AFTER_GA3","NO_HEALTHY_SQUADRON_ANNIHILATION","NONE_LINE_UNIT","PARENT_FLIGHT_SQUADRON_AND_SUPPORT","STANDARD_CRADLE|MAINTAINERS|RECOVERY","PROPOSED_NONCANON_MAPPING"
"M-003","PROPOSED_SLOT","LOW_VOLUME_SERIES","SERVICE_INDUSTRIAL","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","REGIONAL_RESCUE_EDUCATION","NO","NO_HEALTHY_SQUADRON_ANNIHILATION","LOCAL_RESCUE_ACCESS_ONLY","CIVIL_CREWS_RESCUE_FLIGHT_AND_BASE","SERVICE_CRADLE|MEDICAL|RECOVERY","PROPOSED_NONCANON_MAPPING"
"M-004","PROPOSED_SLOT","LOW_VOLUME_SERIES","SERVICE_INDUSTRIAL","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","REMOTE_MAINTENANCE_ROUTE_REPAIR","NO","NO_HEALTHY_SQUADRON_ANNIHILATION","LOCAL_REPAIR_ACCESS_ONLY","REPAIR_TEAMS_ROUTE_CONTROL_AND_RECOVERY","SERVICE_CRADLE|SPARES|TOW","PROPOSED_NONCANON_MAPPING"
"M-005","PROPOSED_SLOT","HIGH_VOLUME_SERIES","LINE_COMBAT","HULL_INSTANCE_LEDGER_ONLY","SQUADRON_LINE","IMPERIAL_LINE_SCREEN_ROTATION","C05_LINE_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","NONE_LINE_UNIT","IMPERIAL_FLIGHT_SQUADRON_AND_CARRIER","FLEET_CRADLE|SUPPLY|RECOVERY","PROPOSED_NONCANON_MAPPING"
"M-006","PROPOSED_SLOT","LIMITED_RUN","SPECIALIST","HULL_INSTANCE_LEDGER_ONLY","NAMED_CORE_OR_SPECIALIST_FLIGHT","FORMATION_COMMAND_COORDINATION","C05_COMMAND_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","ONE_LOCAL_COMMAND_HANDOFF_WINDOW","DISTRIBUTED_COMMAND_FLIGHT_AND_PARENT_SQUADRON","COMMAND_LINK|ESCORT|RECOVERY","PROPOSED_NONCANON_MAPPING"
"M-007","PROPOSED_SLOT","LIMITED_RUN","SPECIALIST","HULL_INSTANCE_LEDGER_ONLY","NAMED_CORE_OR_SPECIALIST_FLIGHT","FORMATION_OPENED_HEAVY_BREACH","YES","NO_HEALTHY_SQUADRON_ANNIHILATION","BREACH_INSIDE_EXISTING_CAPTURE_WINDOW","CAPTURE_FLIGHT_ENGINEERS_AND_RECOVERY","HEAVY_CRADLE|COOLING_TENDER|TOW","PROPOSED_NONCANON_MAPPING"
"M-008","PROPOSED_SLOT","LIMITED_RUN","SPECIALIST","HULL_INSTANCE_LEDGER_ONLY","NAMED_CORE_OR_SPECIALIST_FLIGHT","RECON_AND_ELECTRONIC_DENIAL","YES","NO_HEALTHY_SQUADRON_ANNIHILATION","ONE_LOCAL_SENSOR_OR_CLASSIFICATION_WINDOW","COMMAND_FLIGHT_SCREEN_AND_PARENT_SQUADRON","SENSOR_NETWORK|ESCORT|RECOVERY","PROPOSED_NONCANON_MAPPING"
"M-009","PROPOSED_SLOT","LIMITED_RUN","SPECIALIST","HULL_INSTANCE_LEDGER_ONLY","NAMED_CORE_OR_SPECIALIST_FLIGHT","GUARD_INTERCEPTION","C05_GUARD_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","ONE_LOCAL_INTERCEPT_OR_DELAY","GUARD_FLIGHT_CUSTODY_TEAMS_AND_RECOVERY","SECURE_CRADLE|AUTHORITY|RECOVERY","PROPOSED_NONCANON_MAPPING"
"M-010","PROPOSED_SLOT","HIGH_VOLUME_SERIES","LINE_COMBAT","HULL_INSTANCE_LEDGER_ONLY","SQUADRON_LINE","CERTIFIED_SECURITY_LINE","C03_LINE_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","NONE_LINE_UNIT","HELIX_FLIGHT_SQUADRON_AND_SERVICE","CERTIFIED_CRADLE|PARTS|RECOVERY","PROPOSED_NONCANON_MAPPING"
"M-011","PROPOSED_SLOT","LOW_VOLUME_SERIES","SERVICE_INDUSTRIAL","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","RECOVERY_COOLING_SERVICE_RELAY","C03_SUPPORT_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","LOCAL_RECOVERY_ACCESS_ONLY","SERVICE_CREWS_COOLING_CHAIN_AND_TOW","SERVICE_CRADLE|COOLANT|TOW","PROPOSED_NONCANON_MAPPING"
"M-012","PROPOSED_SLOT","LIMITED_RUN","SPECIALIST","HULL_INSTANCE_LEDGER_ONLY","NAMED_CORE_OR_SPECIALIST_FLIGHT","SENSOR_QUARANTINE_EVIDENCE_CAPTURE","C03_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","ONE_LOCAL_QUARANTINE_OR_EVIDENCE_WINDOW","SECURITY_FLIGHT_EVIDENCE_TEAM_AND_RECOVERY","CERTIFIED_CRADLE|DATA_CUSTODY|RECOVERY","PROPOSED_NONCANON_MAPPING"
"M-013","PROPOSED_SLOT","LIMITED_RUN","SPECIALIST","HULL_INSTANCE_LEDGER_ONLY","NAMED_CORE_OR_SPECIALIST_FLIGHT","PRECISION_INTERDICTION","C03_ELITE_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","ONE_LOCAL_INTERDICTION_WINDOW","TARGETING_CHAIN_FLIGHT_AND_PARENT_SQUADRON","HIGH_LICENSE_SERVICE|COOLING|RECOVERY","PROPOSED_NONCANON_MAPPING"
"M-014","PROPOSED_SLOT","LOW_VOLUME_SERIES","SERVICE_INDUSTRIAL","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","EXTERIOR_ALIGNMENT_INDUSTRIAL_WORK","C04_SUPPORT_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","LOCAL_WORK_ACCESS_ONLY","WORK_CREWS_LOCAL_DEFENSE_AND_BASE","WORK_CRADLE|TOOLS|TOW","PROPOSED_NONCANON_MAPPING"
"M-015","PROPOSED_SLOT","HIGH_VOLUME_SERIES","LINE_COMBAT","HULL_INSTANCE_LEDGER_ONLY","SQUADRON_LINE","LOCAL_DEFENSE_RESTRAINT_LINE","C04_LINE_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","NONE_LINE_UNIT","LOCAL_FLIGHT_SQUADRON_AND_WORKSHOPS","LOCAL_CRADLE|AMMUNITION|RECOVERY","PROPOSED_NONCANON_MAPPING"
"M-016","PROPOSED_SLOT","LIMITED_RUN","SPECIALIST","HULL_INSTANCE_LEDGER_ONLY","NAMED_CORE_OR_SPECIALIST_FLIGHT","ANCHOR_CABLE_CONTROLLED_BREACH","C04_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","ONE_LOCAL_ANCHOR_OR_BREACH_WINDOW","LOCAL_FLIGHT_ENGINEERS_AND_TOW","ANCHOR_RIG|ENGINEERS|RECOVERY","PROPOSED_NONCANON_MAPPING"
"M-017","PROPOSED_SLOT","LOW_VOLUME_SERIES","SERVICE_INDUSTRIAL","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","RELAY_CONSTRUCTION_DAMAGE_CONTROL","C04_SUPPORT_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","LOCAL_RELAY_ACCESS_ONLY","DAMAGE_CONTROL_TEAMS_AND_BASE","SERVICE_CRADLE|RELAY_PARTS|TOW","PROPOSED_NONCANON_MAPPING"
"M-018","PROPOSED_SLOT","HIGH_VOLUME_SERIES","LINE_COMBAT","HULL_INSTANCE_LEDGER_ONLY","SQUADRON_LINE","CIVIL_SEARCH_SHIELD_TOW_LINE","C07_LINE_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","ONE_LOCAL_RESCUE_CORRIDOR","RESCUE_FLIGHT_MEDICAL_CHAIN_AND_TOW","RESCUE_CRADLE|MEDICAL|TOW","PROPOSED_NONCANON_MAPPING"
"M-019","PROPOSED_SLOT","LOW_VOLUME_SERIES","SERVICE_INDUSTRIAL","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","MEDICAL_TRANSFER_LIFE_SUPPORT_BRIDGE","C07_SUPPORT_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","LOCAL_MEDICAL_TRANSFER_ONLY","CLINICAL_TEAMS_RESCUE_FLIGHT_AND_PASSAGE","MEDICAL_CRADLE|LIFE_SUPPORT|RECOVERY","PROPOSED_NONCANON_MAPPING"
"M-020","PROPOSED_SLOT","HIGH_VOLUME_SERIES","LINE_COMBAT","HULL_INSTANCE_LEDGER_ONLY","SQUADRON_LINE","ESCORT_INSPECTION_CORRIDOR_LINE","C07_ESCORT_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","ONE_LOCAL_ESCORT_OR_DELAY_WINDOW","ESCORT_FLIGHT_RESCUE_CHAIN_AND_PARENT_FORMATION","STANDARD_CRADLE|INSPECTION|RECOVERY","PROPOSED_NONCANON_MAPPING"
"M-021","PROPOSED_SLOT","LIMITED_RUN","SPECIALIST","HULL_INSTANCE_LEDGER_ONLY","NAMED_CORE_OR_SPECIALIST_FLIGHT","RESPONSE_ANCHOR_RECORD_RECOVERY","C02_ACE_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","ONE_LOCAL_ANCHOR_OR_EXTRACTION_WINDOW","INDEPENDENT_FLIGHT_RECOVERY_TEAM_AND_ROUTE_SUPPORT","MODIFIED_CRADLE|SPARES|TOW","PROPOSED_NONCANON_MAPPING"
"M-022","PROPOSED_SLOT","HIGH_VOLUME_SERIES","LINE_COMBAT","HULL_INSTANCE_LEDGER_ONLY","SQUADRON_LINE","AMBUSH_EXTRACTION_ROUTE_DENIAL_LINE","C02_LINE_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","ONE_LOCAL_AMBUSH_OR_DELAY_WINDOW","ROUTE_FLIGHT_PARENT_FORMATION_AND_RECOVERY","FRONTIER_CRADLE|AMMUNITION|TOW","PROPOSED_NONCANON_MAPPING"
"M-023","PROPOSED_SLOT","LOW_VOLUME_SERIES","SERVICE_INDUSTRIAL","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","SALVAGE_BREACH_EMERGENCY_TOW","C02_SUPPORT_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","LOCAL_SALVAGE_ACCESS_ONLY","SALVAGE_CREWS_ROUTE_FLIGHT_AND_TOW","HEAVY_TOW|SPARES|RECOVERY","PROPOSED_NONCANON_MAPPING"
