"demand_slot","capacity_state","demand_anchor","role_tier","faction_ecology","ga_window","mission_domain","sample_slot_ref","canon_role_refs","operation_refs","reviewed_reuse_candidates","reuse_assessment","reuse_failure_type","manufacturing_scale","major_system_change_claim","story_status_policy","named_hull_policy","parent_formation_ecology","support_ecology","reuse_or_model_reason","count_decision","canon_status","temporal_compatibility","functional_compatibility","cradle_compatibility","cooling_recovery_compatibility","canon_role_quote_token","operation_quote_token"
"FD-001","BASE_MODEL_CANDIDATE","PROTAGONIST_07_MIXED_SERVICE_CAPTURE_RESCUE","PROTAGONIST","OPEN_SERVICE","GA1_TO_GA10","MIXED_SERVICE_CAPTURE_RESCUE","M-001","docs/03_systems/academy-and-07-opening-operational-state-v1.md:52","docs/03_systems/academy-and-07-opening-operational-state-v1.md:52","CANON_EXISTING","CANON_ENTITY_REFERENCE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","SINGLE_HULL","EXISTING_CANON_SYSTEMS","HULL_INSTANCE_LEDGER_ONLY","FRONT_REQUIRED","JNT_K13_TO_JNT_HALL_TO_JNT_ARD","CRADLE|MAINTAINERS|COOLING|RECOVERY","EXISTING_CANON_ENTITY; NO NEW MODEL CLAIM","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- `AUX-07 다목적 상호운용 훈련 프레임`.","- `AUX-07 다목적 상호운용 훈련 프레임`."
"FD-002","BASE_MODEL_CANDIDATE","GA3_OPEN_STANDARD_MASS_DERIVATIVE","FACTION_SHARED","OPEN_SERVICE","GA3_TO_GA10","LINE_COMBAT_SERVICEABLE","M-002","docs/10_story_architecture/1000-episode-grand-act-map-v1.md:288","docs/10_story_architecture/1000-episode-grand-act-map-v1.md:288","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","HIGH_VOLUME_SERIES","LOAD_FRAME|CONTROL|HEAT","HULL_INSTANCE_LEDGER_ONLY","FRONT_CANDIDATE","JNT_ARD_AND_REGIONAL_SOURCES","STANDARD_CRADLE|MAINTAINERS|RECOVERY","MASS_DERIVATIVE_REQUIRES_SERIES_LOAD_FRAME_AND_PUBLIC_SERVICE_CHAIN","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- first mass-produced derivative frame, not personal superframe.","- first mass-produced derivative frame, not personal superframe."
"FD-003","BASE_MODEL_CANDIDATE","GA10_REGIONAL_RESCUE_EDUCATION","IMPORTANT_EXTRA","OPEN_SERVICE","GA10","RESCUE_TRAINING","M-003","docs/10_story_architecture/detail/ga10-e1051-1060-episode-cards-v1.md:127","docs/10_story_architecture/detail/ga10-e1051-1060-episode-cards-v1.md:127","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","LOW_VOLUME_SERIES","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","HULL_INSTANCE_LEDGER_ONLY","BACKGROUND_MODEL","REGIONAL_TRANSITION_INSTITUTIONS","SERVICE_CRADLE|MEDICAL|RECOVERY","TRAINING_AND_RESCUE_LOADS_REQUIRE_REGIONAL_LOW_COST_FRAME","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- 07-derived open interfaces keep mixed frames interoperable;","- 07-derived open interfaces keep mixed frames interoperable;"
"FD-004","BASE_MODEL_CANDIDATE","GA10_REMOTE_MAINTENANCE_ROUTE_REPAIR","RECURRING_SUPPORT","OPEN_SERVICE","GA10","MAINTENANCE_ROUTE_REPAIR","M-004","docs/10_story_architecture/detail/ga10-e1051-1060-episode-cards-v1.md:127","docs/10_story_architecture/detail/ga10-e1051-1060-episode-cards-v1.md:127","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","LOW_VOLUME_SERIES","LOAD_FRAME|HEAT|ARMOR_SUPPORT","HULL_INSTANCE_LEDGER_ONLY","BACKGROUND_MODEL","REGIONAL_TRANSITION_INSTITUTIONS","SERVICE_CRADLE|SPARES|TOW","REMOTE_REPAIR_TOOL_LOAD_AND_LOW_INFRASTRUCTURE_RECOVERY_DIFFER_FROM_TRAINING_FRAME","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- 07-derived open interfaces keep mixed frames interoperable;","- 07-derived open interfaces keep mixed frames interoperable;"
"FD-005","BASE_MODEL_CANDIDATE","IMPERIAL_FLEET_STANDARD_LINE","FACTION_SHARED","IMPERIAL","GA1_TO_GA10","LINE_COMBAT_SCREEN","M-005","docs/07_military/grand-act-force-holdings-and-readiness-matrix-v1.md:30","docs/07_military/grand-act-force-holdings-and-readiness-matrix-v1.md:30","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","HIGH_VOLUME_SERIES","LOAD_FRAME|CONTROL|WEAPON_SUPPORT","HULL_INSTANCE_LEDGER_ONLY","FRONT_CANDIDATE","IMPERIAL_SOURCE_FORMATIONS","FLEET_CRADLE|SUPPLY|RECOVERY","IMPERIAL_HIGH_VOLUME_CARRIER_STANDARD_REQUIRES_OWN_LOAD_FRAME_AND_SUPPLY_CHAIN","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- military/security frames: 45,000–80,000 across 612 systems;","- military/security frames: 45,000–80,000 across 612 systems;"
"FD-006","BASE_MODEL_CANDIDATE","IMPERIAL_FORMATION_COMMAND_DOCKING","RECURRING_SUPPORT","IMPERIAL","GA2_TO_GA10","COMMAND_DOCKING_CONTROL","M-006","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:85","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:85","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","LIMITED_RUN","LOAD_FRAME|CONTROL|HEAT","HULL_INSTANCE_LEDGER_ONLY","FRONT_CANDIDATE","IMPERIAL_SOURCE_FORMATIONS","COMMAND_LINK|ESCORT|RECOVERY","COMMAND_SENSOR_AND_DOCKING_LOADS_EXCEED_STANDARD_LINE_CONFIGURATION","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- orders, identity, evidence, target classification and surrender terms;","- orders, identity, evidence, target classification and surrender terms;"
"FD-007","BASE_MODEL_CANDIDATE","GA4_SUCCESSION_HEAVY_BREACH","CORE_ANTAGONIST_RIVAL","IMPERIAL","GA4","HEAVY_BREACH_CAPTURE","M-007","docs/07_military/grand-act-force-holdings-and-readiness-matrix-v1.md:218","docs/07_military/grand-act-force-holdings-and-readiness-matrix-v1.md:218","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","LIMITED_RUN","LOAD_FRAME|HEAT|ARMOR_SUPPORT","HULL_INSTANCE_LEDGER_ONLY","FRONT_CANDIDATE","IMPERIAL_SUCCESSION_FORMATIONS","HEAVY_CRADLE|COOLING_TENDER|TOW","HEAVY_BREACH_LOAD_AND_RECOVERY_REQUIRE_SEPARATE_LIMITED_FRAME","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- 100–300 frames and security units;","- 100–300 frames and security units;"
"FD-008","BASE_MODEL_CANDIDATE","IMPERIAL_RECON_ELECTRONIC_DENIAL","RECURRING_SUPPORT","IMPERIAL","GA3_TO_GA10","RECON_ELECTRONIC_WARFARE","M-008","docs/10_story_architecture/detail/ga3-e271-277-episode-cards-v1.md:289","docs/10_story_architecture/detail/ga3-e271-277-episode-cards-v1.md:289","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","LIMITED_RUN","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","HULL_INSTANCE_LEDGER_ONLY","BACKGROUND_MODEL","IMPERIAL_SOURCE_FORMATIONS","SENSOR_NETWORK|ESCORT|RECOVERY","PASSIVE_SENSOR_AND_EW_GEOMETRY_REQUIRE_SEPARATE_LOW_SIGNATURE_FRAME","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- Doman Rek withdraws two cutters and four frames to an Imperial recognition chain;","- Doman Rek withdraws two cutters and four frames to an Imperial recognition chain;"
"FD-009","BASE_MODEL_CANDIDATE","GA4_PALACE_CONTINUITY_INTERCEPTION","CORE_ANTAGONIST_RIVAL","IMPERIAL","GA4_TO_GA9","INTERCEPT_CUSTODY","M-009","docs/07_military/grand-act-force-holdings-and-readiness-matrix-v1.md:218","docs/07_military/grand-act-force-holdings-and-readiness-matrix-v1.md:218","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","LIMITED_RUN","LOAD_FRAME|CONTROL|ARMOR_SUPPORT","HULL_INSTANCE_LEDGER_ONLY","FRONT_CANDIDATE","IMP_CG_SOURCE_FORMATIONS","SECURE_CRADLE|AUTHORITY|RECOVERY","SECURE_CUSTODY_AND_HIGH_ACCELERATION_INTERCEPT_REQUIRE_DISTINCT_LIMITED_FRAME","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- 100–300 frames and security units;","- 100–300 frames and security units;"
"FD-010","BASE_MODEL_CANDIDATE","HELIX_CERTIFIED_SECURITY_LINE","FACTION_SHARED","HELIX","GA1_TO_GA10","FACILITY_SECURITY_LINE","M-010","docs/07_military/grand-act-force-holdings-and-readiness-matrix-v1.md:38","docs/07_military/grand-act-force-holdings-and-readiness-matrix-v1.md:38","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","HIGH_VOLUME_SERIES","LOAD_FRAME|CONTROL|ARMOR_SUPPORT","HULL_INSTANCE_LEDGER_ONLY","FRONT_CANDIDATE","HELIX_SOURCE_FORMATIONS","CERTIFIED_CRADLE|PARTS|RECOVERY","CERTIFIED_LOCKED_SERVICE_ECOLOGY_REQUIRES_DISTINCT_SERIES_FRAME","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- security/technical frames: 6,000–12,000;","- security/technical frames: 6,000–12,000;"
