system_id,system_name,macro_region,cluster,primary_node,registered_population_m,main_specialization,secondary_specialization,governance_at_R0,route_profile,GA10_transition_seed,notes
F15-01,Corion,FRONTIER,Nine Doors,L3,15.941,independent fabrication,rescue services,Helix Concession,seasonal route,T4 asynchronous,
F15-02,Amonen,FRONTIER,Nine Doors,L3,25.747,fuel production,rescue services,Contested,local relay,T4 asynchronous,
F15-03,Letoora,FRONTIER,Nine Doors,L2,74.065,rare materials,sensor watch,Contested,cross-corridor,T0 synchronized,
F15-04,Arelune,FRONTIER,Nine Doors,L3,17.299,refugee services,small-yard repair,Independent Compact,damaged route,T1 delegated,
F15-05,Pavoos,FRONTIER,Nine Doors,L2,85.668,salvage,independent fabrication,Contested,industrial branch,T3 local plural,
F15-06,Darinas,FRONTIER,Nine Doors,L3,22.023,fuel production,rescue services,Helix Concession,seasonal route,T2 joint transition,
F15-07,Belyr,FRONTIER,Nine Doors,L3,24.318,mobile habitats,refugee services,Helix Concession,local relay,T1 delegated,
F15-08,Rinessa,FRONTIER,Nine Doors,L3,25.515,salvage,sensor watch,Mobile Route Covenant,single-corridor spur,T3 local plural,
F15-09,Peraeon,FRONTIER,Nine Doors,L3,18.872,sensor watch,mobile habitats,Independent Compact,single-corridor spur,T5 contested,
F15-10,Bexia,FRONTIER,Nine Doors,L3,24.985,rare materials,salvage,Imperial Claim/Local Rule,damaged route,T5 contested,
F15-11,Belor,FRONTIER,Nine Doors,L2,75.283,resource extraction,local agriculture,Local Assembly,regional hub,T3 local plural,
F15-12,Arelora,FRONTIER,Nine Doors,L3,20.03,small-yard repair,fuel production,Contested,damaged route,T5 contested,
F15-13,Esenorn,FRONTIER,Nine Doors,L3,13.723,fuel production,rescue services,Contested,damaged route,T4 asynchronous,
F15-14,Galenorn,FRONTIER,Nine Doors,L3,16.301,sensor watch,salvage,Independent Compact,damaged route,T6 re-centralized,
F15-15,Miraer,FRONTIER,Nine Doors,L2,46.635,small-yard repair,rescue services,Contested,regional hub,T3 local plural,
F16-01,Noxara,FRONTIER,Far Witness,L2,60.694,refugee services,resource extraction,Contested,regional hub,T3 local plural,
F16-02,Iriain,FRONTIER,Far Witness,L3,13.863,salvage,refugee services,Mobile Route Covenant,single-corridor spur,T0 synchronized,
F16-03,Karaion,FRONTIER,Far Witness,L2,79.653,rare materials,resource extraction,Independent Compact,cross-corridor,T4 asynchronous,
F16-04,Karain,FRONTIER,Far Witness,L3,23.277,refugee services,route guidance,Helix Concession,single-corridor spur,T0 synchronized,
F16-05,Ulenorn,FRONTIER,Far Witness,L2,70.009,salvage,small-yard repair,Local Assembly,industrial branch,T3 local plural,
F16-06,Belune,FRONTIER,Far Witness,L3,23.219,rescue services,mobile habitats,Helix Concession,damaged route,T3 local plural,
F16-07,Quenorn,FRONTIER,Far Witness,L2,72.68,rescue services,rare materials,Neutral Charter,cross-corridor,T5 contested,
F16-08,Ivenan,FRONTIER,Far Witness,L2,40.948,small-yard repair,route guidance,Independent Compact,cross-corridor,T0 synchronized,
F16-09,Oriner,FRONTIER,Far Witness,L3,17.154,mobile habitats,small-yard repair,Mobile Route Covenant,single-corridor spur,T2 joint transition,
F16-10,Caelessa,FRONTIER,Far Witness,L3,23.304,sensor watch,local agriculture,Independent Compact,local relay,T6 re-centralized,
F16-11,Merekion,FRONTIER,Far Witness,L3,16.892,route guidance,salvage,Local Assembly,single-corridor spur,T1 delegated,
