system_id,system_name,macro_region,cluster,primary_node,registered_population_m,main_specialization,secondary_specialization,governance_at_R0,route_profile,GA10_transition_seed,notes
I01-01,Lumen,INNER,Lumen Trunk,L1,1100.0,pharmaceuticals,consumer industry,Joint Imperial-Charter Administration,trunk corridor,T1 delegated,Opening trunk hub and major traffic/insurance center.
I01-02,Queneon,INNER,Lumen Trunk,L3,39.427,data services,education,Imperial Province,seasonal route,T3 local plural,
I01-03,Tavaar,INNER,Lumen Trunk,L1,586.328,route finance,shipbuilding,Neutral Commercial Charter,trunk corridor,T0 synchronized,
I01-04,Faroas,INNER,Lumen Trunk,L2,166.893,route finance,fleet support,Helix Contract Zone,industrial branch,T1 delegated,
I01-05,Belin,INNER,Lumen Trunk,L3,69.128,shipbuilding,education,Imperial Province,seasonal route,T1 delegated,
I01-06,Caelas,INNER,Lumen Trunk,L2,191.314,precision manufacturing,fleet support,Neutral Commercial Charter,cross-corridor,T4 asynchronous,
I01-07,Letoion,INNER,Lumen Trunk,L2,181.726,agriculture,pharmaceuticals,Joint Imperial-Charter Administration,cross-corridor,T6 re-centralized,
I01-08,Uleneth,INNER,Lumen Trunk,L3,33.95,route finance,fleet support,Joint Imperial-Charter Administration,seasonal route,T5 contested,
I01-09,Noxar,INNER,Lumen Trunk,L2,125.606,fleet support,consumer industry,Helix Contract Zone,industrial branch,T0 synchronized,
I01-10,Bexas,INNER,Lumen Trunk,L2,220.44,pharmaceuticals,precision manufacturing,Imperial Province,regional hub,T5 contested,
I01-11,Miraar,INNER,Lumen Trunk,L2,161.656,consumer industry,shipbuilding,Helix Contract Zone,cross-corridor,T1 delegated,
I01-12,Peraar,INNER,Lumen Trunk,L3,50.086,fleet support,shipbuilding,Neutral Commercial Charter,seasonal route,T2 joint transition,
I02-01,Kael,INNER,Kael Reach,L2,620.0,precision manufacturing,fleet support,Neutral Commercial Charter,regional hub,T2 joint transition,"Claims, workshops and mixed administrative port."
I02-02,Xaroa,INNER,Kael Reach,L1,425.541,agriculture,consumer industry,Joint Imperial-Charter Administration,multi-region junction,T4 asynchronous,
I02-03,Joraas,INNER,Kael Reach,L0,1075.11,fleet support,data services,Neutral Commercial Charter,trunk nexus,T1 delegated,
I02-04,Yvenessa,INNER,Kael Reach,L2,193.49,consumer industry,habitat construction,Imperial Province,regional hub,T3 local plural,
I02-05,Orinan,INNER,Kael Reach,L2,144.567,precision manufacturing,shipbuilding,Imperial Province,regional hub,T2 joint transition,
I02-06,Seraorn,INNER,Kael Reach,L2,113.453,pharmaceuticals,shipbuilding,Imperial Province,cross-corridor,T1 delegated,
I02-07,Junoan,INNER,Kael Reach,L1,464.942,shipbuilding,agriculture,Helix Contract Zone,multi-region junction,T6 re-centralized,
I02-08,Seraan,INNER,Kael Reach,L1,557.288,route finance,consumer industry,Imperial Province,multi-region junction,T1 delegated,
I02-09,Torenar,INNER,Kael Reach,L1,415.301,precision manufacturing,habitat construction,Neutral Commercial Charter,trunk corridor,T6 re-centralized,
I02-10,Quenune,INNER,Kael Reach,L3,44.621,data services,consumer industry,Neutral Commercial Charter,single-corridor spur,T6 re-centralized,
I02-11,Belas,INNER,Kael Reach,L3,47.977,shipbuilding,agriculture,Helix Contract Zone,seasonal route,T1 delegated,
I02-12,Arelorn,INNER,Kael Reach,L2,131.096,route finance,shipbuilding,Imperial Province,cross-corridor,T1 delegated,
I03-01,Brann,INNER,Brann Forge,L2,850.0,shipbuilding,agriculture,Imperial Province,industrial branch,T1 delegated,Heavy industrial and training-supply system.
I03-02,Farois,INNER,Brann Forge,L3,45.593,agriculture,route finance,Helix Contract Zone,damaged route,T6 re-centralized,
I03-03,Merekum,INNER,Brann Forge,L1,312.945,pharmaceuticals,precision manufacturing,Joint Imperial-Charter Administration,trunk corridor,T4 asynchronous,
I03-04,Karaan,INNER,Brann Forge,L1,478.754,agriculture,education,Helix Contract Zone,multi-region junction,T1 delegated,
I03-05,Beleth,INNER,Brann Forge,L1,329.447,route finance,consumer industry,Neutral Commercial Charter,trunk corridor,T5 contested,
I03-06,Junoia,INNER,Brann Forge,L1,524.364,data services,fleet support,Joint Imperial-Charter Administration,trunk corridor,T1 delegated,
I03-07,Caelan,INNER,Brann Forge,L2,218.935,education,agriculture,Neutral Commercial Charter,cross-corridor,T3 local plural,
I03-08,Lioraar,INNER,Brann Forge,L2,147.263,route finance,education,Joint Imperial-Charter Administration,cross-corridor,T5 contested,
I03-09,Garoar,INNER,Brann Forge,L1,300.611,data services,shipbuilding,Imperial Province,multi-region junction,T4 asynchronous,
I03-10,Hessas,INNER,Brann Forge,L1,593.785,education,route finance,Helix Contract Zone,multi-region junction,T2 joint transition,
I03-11,Zareker,INNER,Brann Forge,L1,431.005,shipbuilding,education,Joint Imperial-Charter Administration,multi-region junction,T4 asynchronous,
I03-12,Peraer,INNER,Brann Forge,L2,217.199,shipbuilding,precision manufacturing,Imperial Province,regional hub,T1 delegated,
I04-01,Neris,INNER,Neris Exchange,L2,430.0,route finance,pharmaceuticals,Neutral Commercial Charter,industrial branch,T3 local plural,Workshop/market node tied to the ghost-parts investigation.
I04-02,Lioraer,INNER,Neris Exchange,L2,236.349,fleet support,shipbuilding,Joint Imperial-Charter Administration,regional hub,T4 asynchronous,
I04-03,Torenora,INNER,Neris Exchange,L2,129.858,route finance,data services,Imperial Province,regional hub,T1 delegated,
I04-04,Faroion,INNER,Neris Exchange,L3,50.896,consumer industry,fleet support,Helix Contract Zone,single-corridor spur,T5 contested,
I04-05,Ravelessa,INNER,Neris Exchange,L1,582.628,education,shipbuilding,Helix Contract Zone,trunk corridor,T3 local plural,
I04-06,Faroadia,INNER,Neris Exchange,L2,182.969,consumer industry,shipbuilding,Neutral Commercial Charter,industrial branch,T3 local plural,
I04-07,Joraan,INNER,Neris Exchange,L3,45.882,pharmaceuticals,precision manufacturing,Neutral Commercial Charter,seasonal route,T4 asynchronous,
I04-08,Navaa,INNER,Neris Exchange,L2,197.523,agriculture,data services,Neutral Commercial Charter,industrial branch,T2 joint transition,
I04-09,Joraessa,INNER,Neris Exchange,L2,207.219,data services,education,Neutral Commercial Charter,industrial branch,T0 synchronized,
I04-10,Amonune,INNER,Neris Exchange,L1,423.323,education,fleet support,Imperial Province,trunk corridor,T5 contested,
I04-11,Coror,INNER,Neris Exchange,L2,149.909,habitat construction,education,Neutral Commercial Charter,regional hub,T4 asynchronous,
I04-12,Navaion,INNER,Neris Exchange,L2,216.411,route finance,agriculture,Joint Imperial-Charter Administration,cross-corridor,T1 delegated,
I05-01,Miraessa,INNER,Sable Orchard,L2,138.336,education,pharmaceuticals,Joint Imperial-Charter Administration,industrial branch,T0 synchronized,
I05-02,Wrena,INNER,Sable Orchard,L2,232.121,fleet support,precision manufacturing,Imperial Province,cross-corridor,T0 synchronized,
I05-03,Fenner,INNER,Sable Orchard,L2,147.311,consumer industry,data services,Joint Imperial-Charter Administration,industrial branch,T4 asynchronous,
I05-04,Toreniel,INNER,Sable Orchard,L2,198.395,precision manufacturing,consumer industry,Helix Contract Zone,cross-corridor,T4 asynchronous,
I05-05,Esenas,INNER,Sable Orchard,L1,560.714,shipbuilding,route finance,Joint Imperial-Charter Administration,multi-region junction,T2 joint transition,
I05-06,Wrenas,INNER,Sable Orchard,L2,236.161,habitat construction,fleet support,Joint Imperial-Charter Administration,regional hub,T1 delegated,
I05-07,Iriaum,INNER,Sable Orchard,L2,149.168,education,route finance,Helix Contract Zone,cross-corridor,T1 delegated,
I05-08,Velaar,INNER,Sable Orchard,L2,176.705,precision manufacturing,fleet support,Imperial Province,regional hub,T0 synchronized,
I05-09,Faroara,INNER,Sable Orchard,L3,34.607,agriculture,route finance,Imperial Province,single-corridor spur,T1 delegated,
