system_id,system_name,macro_region,cluster,primary_node,registered_population_m,main_specialization,secondary_specialization,governance_at_R0,route_profile,GA10_transition_seed,notes
M01-01,Marn,MIDDLE,Marn Grave,L3,18.0,mining,repair yards,Contested Administration,damaged route,T4 asynchronous,Graveyard/salvage system with damaged relays and dispersed claims.
M01-02,Veyiel,MIDDLE,Marn Grave,L2,107.984,media,mixed agriculture,Joint Trust,cross-corridor,T2 joint transition,
M01-03,Arelan,MIDDLE,Marn Grave,L2,99.453,regional logistics,media,Contested Administration,cross-corridor,T0 synchronized,
M01-04,Amonara,MIDDLE,Marn Grave,L3,36.451,mining,mixed agriculture,Regional Assembly,local relay,T2 joint transition,
M01-05,Peraas,MIDDLE,Marn Grave,L2,93.66,education,salvage,Neutral Charter,industrial branch,T3 local plural,
M01-06,Belara,MIDDLE,Marn Grave,L3,33.673,mixed agriculture,mining,Neutral Charter,damaged route,T2 joint transition,
M01-07,Arelis,MIDDLE,Marn Grave,L3,27.152,medical transit,regional logistics,Neutral Charter,seasonal route,T0 synchronized,
M01-08,Ulenis,MIDDLE,Marn Grave,L2,142.758,node services,water processing,Regional Assembly,regional hub,T0 synchronized,
M01-09,Yvenes,MIDDLE,Marn Grave,L3,42.294,refining,mining,Helix Contract Zone,damaged route,T4 asynchronous,
M01-10,Quenadia,MIDDLE,Marn Grave,L2,182.451,media,regional logistics,Regional Assembly,industrial branch,T0 synchronized,
M01-11,Karaum,MIDDLE,Marn Grave,L3,44.482,salvage,media,Regional Assembly,damaged route,T4 asynchronous,
M01-12,Ravelyr,MIDDLE,Marn Grave,L3,51.489,mining,mixed agriculture,Regional Assembly,local relay,T3 local plural,
M02-01,Silex,MIDDLE,Silex Corridor,L3,6.5,education,refining,Joint Trust,damaged route,T2 joint transition,Unstable bypass corridor linking later Ardis access.
M02-02,Ivenen,MIDDLE,Silex Corridor,L3,29.386,media,mixed agriculture,Helix Contract Zone,single-corridor spur,T3 local plural,
M02-03,Karaos,MIDDLE,Silex Corridor,L3,27.114,salvage,media,Helix Contract Zone,damaged route,T3 local plural,
M02-04,Belorn,MIDDLE,Silex Corridor,L2,99.449,salvage,mixed agriculture,Contested Administration,industrial branch,T1 delegated,
M02-05,Garoessa,MIDDLE,Silex Corridor,L3,38.807,medical transit,mixed agriculture,Imperial Province,damaged route,T4 asynchronous,
M02-06,Faroessa,MIDDLE,Silex Corridor,L2,109.498,regional logistics,mining,Contested Administration,industrial branch,T6 re-centralized,
M02-07,Ravelos,MIDDLE,Silex Corridor,L2,163.489,medical transit,refining,Contested Administration,cross-corridor,T4 asynchronous,
M02-08,Peraia,MIDDLE,Silex Corridor,L3,32.573,repair yards,media,Contested Administration,seasonal route,T2 joint transition,
M02-09,Darinora,MIDDLE,Silex Corridor,L3,46.864,industrial frames,refining,Contested Administration,damaged route,T1 delegated,
M02-10,Ulena,MIDDLE,Silex Corridor,L3,42.677,water processing,node services,Neutral Charter,damaged route,T0 synchronized,
M02-11,Ivenin,MIDDLE,Silex Corridor,L2,158.38,medical transit,media,Neutral Charter,industrial branch,T3 local plural,
M02-12,Junoa,MIDDLE,Silex Corridor,L2,135.442,mixed agriculture,node services,Neutral Charter,regional hub,T3 local plural,
M03-01,Ardis,MIDDLE,Ardis Reach,L3,1.42,industrial frames,salvage,Joint Trust,regional hub,T3 local plural,Damaged L3/L2-candidate multi-habitat city; 1.42m permanent at GA3 start.
M03-02,Lioraora,MIDDLE,Ardis Reach,L3,41.482,regional logistics,mixed agriculture,Joint Trust,single-corridor spur,T6 re-centralized,
M03-03,Kesten,MIDDLE,Ardis Reach,L2,97.417,industrial frames,repair yards,Contested Administration,regional hub,T0 synchronized,
M03-04,Iriaion,MIDDLE,Ardis Reach,L3,40.672,media,regional logistics,Regional Assembly,seasonal route,T5 contested,
M03-05,Iriaor,MIDDLE,Ardis Reach,L2,98.434,repair yards,mixed agriculture,Joint Trust,industrial branch,T0 synchronized,
M03-06,Noxer,MIDDLE,Ardis Reach,L3,27.618,regional logistics,education,Imperial Province,local relay,T6 re-centralized,
M03-07,Haleia,MIDDLE,Ardis Reach,L3,49.738,refining,salvage,Regional Assembly,local relay,T5 contested,
M03-08,Caelion,MIDDLE,Ardis Reach,L3,26.717,education,mining,Imperial Province,single-corridor spur,T4 asynchronous,
M03-09,Coras,MIDDLE,Ardis Reach,L2,139.432,mining,media,Regional Assembly,cross-corridor,T4 asynchronous,
M03-10,Orinyr,MIDDLE,Ardis Reach,L3,26.887,node services,regional logistics,Neutral Charter,single-corridor spur,T3 local plural,
M03-11,Esenin,MIDDLE,Ardis Reach,L2,98.495,repair yards,education,Neutral Charter,cross-corridor,T1 delegated,
M03-12,Iriaar,MIDDLE,Ardis Reach,L3,35.608,water processing,industrial frames,Regional Assembly,seasonal route,T2 joint transition,
M04-01,Kestin,MIDDLE,Cinder Basin,L3,33.094,media,water processing,Contested Administration,seasonal route,T1 delegated,
M04-02,Demees,MIDDLE,Cinder Basin,L2,130.713,repair yards,media,Neutral Charter,cross-corridor,T2 joint transition,
M04-03,Orinadia,MIDDLE,Cinder Basin,L2,177.354,mixed agriculture,repair yards,Regional Assembly,industrial branch,T1 delegated,
M04-04,Faroum,MIDDLE,Cinder Basin,L3,37.781,industrial frames,repair yards,Joint Trust,seasonal route,T6 re-centralized,
M04-05,Zarekan,MIDDLE,Cinder Basin,L2,122.41,mixed agriculture,education,Regional Assembly,industrial branch,T3 local plural,
M04-06,Darinar,MIDDLE,Cinder Basin,L2,95.552,repair yards,refining,Helix Contract Zone,cross-corridor,T6 re-centralized,
M04-07,Ivenor,MIDDLE,Cinder Basin,L3,26.041,refining,node services,Joint Trust,single-corridor spur,T5 contested,
M04-08,Tavaiel,MIDDLE,Cinder Basin,L2,102.833,repair yards,medical transit,Contested Administration,cross-corridor,T6 re-centralized,
M04-09,Esenara,MIDDLE,Cinder Basin,L2,188.603,node services,regional logistics,Imperial Province,industrial branch,T1 delegated,
M04-10,Haleas,MIDDLE,Cinder Basin,L3,28.941,media,salvage,Imperial Province,single-corridor spur,T6 re-centralized,
M04-11,Letoas,MIDDLE,Cinder Basin,L3,32.164,water processing,salvage,Imperial Province,local relay,T0 synchronized,
M04-12,Caelorn,MIDDLE,Cinder Basin,L3,53.915,salvage,node services,Regional Assembly,single-corridor spur,T1 delegated,
M05-01,Ravelan,MIDDLE,Glasswater,L2,182.73,medical transit,industrial frames,Helix Contract Zone,regional hub,T0 synchronized,
M05-02,Darinion,MIDDLE,Glasswater,L3,50.323,repair yards,medical transit,Helix Contract Zone,single-corridor spur,T4 asynchronous,
M05-03,Ivenessa,MIDDLE,Glasswater,L3,29.201,refining,water processing,Helix Contract Zone,seasonal route,T2 joint transition,
M05-04,Bexorn,MIDDLE,Glasswater,L3,32.624,regional logistics,refining,Helix Contract Zone,seasonal route,T5 contested,
M05-05,Fennin,MIDDLE,Glasswater,L3,56.817,refining,education,Regional Assembly,damaged route,T3 local plural,
M05-06,Coros,MIDDLE,Glasswater,L2,167.604,media,medical transit,Joint Trust,cross-corridor,T5 contested,
M05-07,Junoyr,MIDDLE,Glasswater,L2,88.605,salvage,mining,Joint Trust,industrial branch,T2 joint transition,
M05-08,Darinin,MIDDLE,Glasswater,L3,36.102,mixed agriculture,regional logistics,Helix Contract Zone,seasonal route,T4 asynchronous,
M05-09,Hessan,MIDDLE,Glasswater,L2,158.838,media,mining,Regional Assembly,industrial branch,T4 asynchronous,
M05-10,Bexan,MIDDLE,Glasswater,L2,109.056,salvage,medical transit,Regional Assembly,industrial branch,T4 asynchronous,
