"slot_id","basis_support_scope","basis_quote_token","tech_basis_ref","tech_support_scope","tech_quote_token"
"M-001","EXACT_07_REGISTRY_ID_ONLY","AUX-07","docs/06_hardware/first-frame-bible-v1.md:100","EXACT_EXISTING_07_TOOL_CAPABILITY","cutting"
"M-002","EXPLICIT_MASS_DERIVATIVE_EXISTENCE_ONLY_NAME_ROLE_MECHANICS_PROPOSED","first mass-produced derivative frame","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:220","CATEGORY_ONLY_NOT_EXACT_LOADOUT","Frame carbine"
"M-003","GA10_OPEN_INTERFACE_EXISTENCE_ONLY_SEPARATE_CHASSIS_ROLE_PROPOSED","07-derived open interfaces","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:241","CATEGORY_ONLY_NOT_EXACT_LOADOUT","Breaching/cutting/service tools"
"M-004","GA10_OPEN_INTERFACE_EXISTENCE_ONLY_SEPARATE_CHASSIS_ROLE_PROPOSED","07-derived open interfaces","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:241","CATEGORY_ONLY_NOT_EXACT_LOADOUT","Breaching/cutting/service tools"
"M-005","IMPERIAL_FRAME_POOL_EXISTS_ONLY_PRODUCT_LINE_PROPOSED","military/security frames","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:220","CATEGORY_ONLY_NOT_EXACT_LOADOUT","Frame carbine"
"M-006","COMMAND_AUTHENTICATION_DOCTRINE_ONLY_COMMAND_CHASSIS_PROPOSED","orders, identity","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:220","CATEGORY_ONLY_NOT_EXACT_LOADOUT","Frame carbine"
"M-007","GA4_CLAIMANT_FRAME_POOL_ONLY_HEAVY_CHASSIS_PROPOSED","100–300 frames","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:241","CATEGORY_ONLY_NOT_EXACT_LOADOUT","Breaching/cutting/service tools"
"M-008","IMPERIAL_FRAME_PRESENCE_ONLY_RECON_ROLE_PROPOSED","four frames","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:113","CATEGORY_ONLY_NOT_EXACT_LOADOUT","frame local sensors"
"M-009","GA4_CLAIMANT_FRAME_POOL_ONLY_GUARD_CHASSIS_PROPOSED","100–300 frames","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:241","CATEGORY_ONLY_NOT_EXACT_LOADOUT","Breaching/cutting/service tools"
"M-010","HELIX_FRAME_POOL_EXISTS_ONLY_PRODUCT_LINE_PROPOSED","security/technical frames","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:220","CATEGORY_ONLY_NOT_EXACT_LOADOUT","Frame carbine"
"M-011","HELIX_FRAME_ROLE_FAMILY_ONLY_SERVICE_CHASSIS_PROPOSED","facility defense, recovery","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:241","CATEGORY_ONLY_NOT_EXACT_LOADOUT","Breaching/cutting/service tools"
"M-012","HELIX_FRAME_PRESENCE_ONLY_SENSOR_ROLE_PROPOSED","4 Helix security frames","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:113","CATEGORY_ONLY_NOT_EXACT_LOADOUT","frame local sensors"
"M-013","HELIX_FRAME_ROLE_FAMILY_ONLY_ELITE_CHASSIS_PROPOSED","facility defense, recovery","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:241","CATEGORY_ONLY_NOT_EXACT_LOADOUT","Breaching/cutting/service tools"
"M-014","EXACT_LOCAL_UTILITY_FRAME_OPERATOR_ONLY_PRODUCT_NAME_PROPOSED","local utility-frame lead","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:241","CATEGORY_ONLY_NOT_EXACT_LOADOUT","Breaching/cutting/service tools"
"M-015","LOCAL_UTILITY_DEFENSE_NETWORK_ONLY_PRODUCT_LINE_PROPOSED","Local Utility-Frame Defense Network","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:220","CATEGORY_ONLY_NOT_EXACT_LOADOUT","Frame carbine"
"M-016","ARDIS_FRAME_ROLE_FAMILY_ONLY_ENGINEERING_CHASSIS_PROPOSED","service, node work","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:241","CATEGORY_ONLY_NOT_EXACT_LOADOUT","Breaching/cutting/service tools"
"M-017","ARDIS_FRAME_ROLE_FAMILY_ONLY_RELAY_CHASSIS_PROPOSED","service, node work","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:241","CATEGORY_ONLY_NOT_EXACT_LOADOUT","Breaching/cutting/service tools"
"M-018","NEUTRAL_FRAME_ROLE_FAMILY_ONLY_RESCUE_CHASSIS_PROPOSED","rescue, inspection","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:307","CATEGORY_ONLY_NOT_EXACT_LOADOUT","service frame"
"M-019","NEUTRAL_FRAME_ROLE_FAMILY_ONLY_MEDICAL_CHASSIS_PROPOSED","rescue, inspection","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:307","CATEGORY_ONLY_NOT_EXACT_LOADOUT","service frame"
"M-020","NEUTRAL_FRAME_ROLE_FAMILY_ONLY_ESCORT_CHASSIS_PROPOSED","rescue, inspection","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:220","CATEGORY_ONLY_NOT_EXACT_LOADOUT","Frame carbine"
"M-021","EXACT_ERN_FRAME_PROFILE_ONLY_WORKING_NAME_CODE_PROPOSED","modified industrial-response frame","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:241","CATEGORY_ONLY_NOT_EXACT_LOADOUT","Breaching/cutting/service tools"
"M-022","INDEPENDENCE_FRAME_ROLE_FAMILY_ONLY_PRODUCT_LINE_PROPOSED","industrial conversion","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:241","CATEGORY_ONLY_NOT_EXACT_LOADOUT","Breaching/cutting/service tools"
"M-023","INDEPENDENCE_FRAME_ROLE_FAMILY_ONLY_SALVAGE_CHASSIS_PROPOSED","industrial conversion","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:241","CATEGORY_ONLY_NOT_EXACT_LOADOUT","Breaching/cutting/service tools"
"M-024","CONTINUITY_FRAME_ROLE_FAMILY_ONLY_PRODUCT_LINE_PROPOSED","networked point defense","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:220","CATEGORY_ONLY_NOT_EXACT_LOADOUT","Frame carbine"
"M-025","PALIMPSEST_FRAME_POOL_EXISTS_ONLY_PRODUCT_LINE_PROPOSED","180–350 frames","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:241","CATEGORY_ONLY_NOT_EXACT_LOADOUT","Breaching/cutting/service tools"
