system_id,system_name,macro_region,cluster,primary_node,registered_population_m,main_specialization,secondary_specialization,governance_at_R0,route_profile,GA10_transition_seed,notes
C00-01,Aurel Prime,CORE,Crown Meridian,L0,4200.0,continuity archive,capital administration,Imperial Continuity Office,anchor mesh,T0 synchronized,L0 continuity anchor and central Archive/Aurel institutional root.
C01-02,Mereketh,CORE,Crown Meridian,L2,187.317,identity services,command certification,Imperial Civil Directorate,industrial branch,T5 contested,
C01-03,Kesta,CORE,Crown Meridian,L1,1005.864,identity services,continuity archive,Imperial Continuity Office,multi-region junction,T4 asynchronous,
C01-04,Wrenyr,CORE,Crown Meridian,L1,810.804,advanced medicine,heavy shipbuilding,Imperial Continuity Office,trunk corridor,T3 local plural,
C01-05,Wrenadia,CORE,Crown Meridian,L0,1569.382,high-energy research,advanced medicine,Imperial Continuity Office,anchor mesh,T0 synchronized,
C01-06,Demeas,CORE,Crown Meridian,L1,932.726,continuity archive,command certification,Imperial Crown,trunk corridor,T1 delegated,
C02-01,Haleen,CORE,Old Anchor,L0,953.56,heavy shipbuilding,high-energy research,Imperial Crown,trunk nexus,T3 local plural,
C02-02,Miraeon,CORE,Old Anchor,L1,566.951,capital administration,command certification,Imperial Continuity Office,multi-region junction,T6 re-centralized,
C02-03,Junoum,CORE,Old Anchor,L1,743.56,heavy shipbuilding,strategic finance,Imperial Civil Directorate,multi-region junction,T0 synchronized,
C02-04,Wrenora,CORE,Old Anchor,L0,1262.322,capital administration,heavy shipbuilding,Imperial Crown,trunk nexus,T1 delegated,
C02-05,Seraen,CORE,Old Anchor,L1,483.112,continuity archive,advanced medicine,Imperial Civil Directorate,trunk corridor,T4 asynchronous,
C02-06,Joraeth,CORE,Old Anchor,L0,1334.817,high-energy research,continuity archive,Imperial Civil Directorate,trunk nexus,T4 asynchronous,
C03-01,Darinessa,CORE,Aster Vault,L0,1853.611,high-energy research,command certification,Imperial Continuity Office,trunk nexus,T0 synchronized,
C03-02,Beleon,CORE,Aster Vault,L1,649.478,heavy shipbuilding,capital administration,Imperial Civil Directorate,multi-region junction,T2 joint transition,
C03-03,Zarekora,CORE,Aster Vault,L1,931.348,identity services,heavy shipbuilding,Imperial Continuity Office,multi-region junction,T2 joint transition,
C03-04,Caeliel,CORE,Aster Vault,L2,316.277,strategic finance,command certification,Imperial Continuity Office,regional hub,T4 asynchronous,
C03-05,Bexune,CORE,Aster Vault,L2,256.123,command certification,advanced medicine,Imperial Crown,cross-corridor,T5 contested,
C03-06,Lioraeon,CORE,Aster Vault,L2,205.994,high-energy research,continuity archive,Imperial Civil Directorate,regional hub,T2 joint transition,
C04-01,Galenin,CORE,Vigil Crown,L1,565.345,identity services,strategic finance,Imperial Continuity Office,trunk corridor,T4 asynchronous,
C04-02,Ossayr,CORE,Vigil Crown,L0,1720.216,advanced medicine,command certification,Imperial Civil Directorate,anchor mesh,T0 synchronized,
C04-03,Ossaa,CORE,Vigil Crown,L1,547.67,heavy shipbuilding,identity services,Imperial Crown,multi-region junction,T3 local plural,
C04-04,Iriaora,CORE,Vigil Crown,L1,559.021,identity services,capital administration,Imperial Continuity Office,multi-region junction,T6 re-centralized,
C04-05,Orinis,CORE,Vigil Crown,L1,746.136,command certification,capital administration,Imperial Continuity Office,trunk corridor,T0 synchronized,
C04-06,Uleniel,CORE,Vigil Crown,L0,1598.366,command certification,capital administration,Imperial Civil Directorate,anchor mesh,T3 local plural,
