"item_id","name","first_reveal","subact","final_payoff","plot_use","limit_cost","misuse_risk","related_mystery","maker","certifier","liability","reproducibility","texture_status"
"T-001","푸수라","GA2","","GA8","이전 문명 주조법의 재현 불가 부위가 계보 미스터리의 물리적 증거가 된다","재현 불가 부위 때문에 완전 복제가 안 된다","재현 못 하는 것을 신비화해 숭배 대상으로 만든다","M-003","이전 문명 산업기 — 재현 불가 부위가 있어 부분 복원만 이뤄진다","인증 체계 이전 · 호환 C3 야전 임시 — 재현 불가 부위 탓에 등록 자체가 안 된다","고장 시 귀속처가 없다 — 만든 쪽이 남아 있지 않다","완전 복제 불가","PENDING_SCENE"
"T-002","트라베스","GA3","","GA9","현행 규격보다 두꺼운 골격이 구식이 왜 살아남는지를 보인다","무겁고 비효율적이다","낡았다는 이유로 폐기해 구조물이 무너진다","M-016","이전 문명 산업기 — 무겁고 비효율이라 신규 제작 수요가 없다","인증 체계 이전 · 호환 C3 야전 임시 — 구형 분류로만 남아 신규 발급이 끊겼다","운용자 귀속 — 대체품이 없어 고쳐 쓰는 수밖에 없다","복제는 가능하나 효율이 나빠 아무도 안 한다","PENDING_SCENE"
"T-003","카미노스","GA5","","GA9","고온 처리 공정이 변경 자립 생산의 벽이 된다","연료 소모가 과해 경제성이 없다","연료를 빼돌려 공정을 세울 수 있다","NONE","이전 문명 산업기 — 연료 소모가 과해 경제성이 없다","인증 체계 이전 · 호환 C4 응급 임시변통 — 응급 임시변통 등급이라 정규 인증 대상이 아니다","연료가 떨어져 멈추면 운용자 책임이다","복제 가능. 연료비가 실질 장벽","PENDING_SCENE"
"T-004","세미타","GA1","A1","GA7","초기 계전 항로 표지 체계가 잃어버린 구간 복원의 열쇠가 된다","표지가 소실된 구간은 복원 불가다","표지를 옮겨 항로를 조작할 수 있다","M-020","초기 계전망 — 표지 자체는 재제작 가능하나 위치 정보가 소실됐다","인증 체계 이전 · 호환 C2 개방 관리 어댑터 — 표지 규격은 남았고 좌표 대장이 없다","소실 구간에서 길을 잃어도 책임질 주체가 없다","표지는 복제 가능, 잃어버린 좌표는 아니다","PENDING_SCENE"
"T-005","프릭토스","GA2","","GA9","느리지만 끊기지 않는 저대역 중계가 통신 차단기의 대항책이 된다","대역이 좁아 긴 메시지를 못 보낸다","느린 통신이 곧 지연된 구조가 된다","NONE","초기 계전망 — 대역이 좁은 구형 계전이라 개선 여지가 적다","인증 체계 이전 · 호환 C2 개방 관리 어댑터 — 개방 관리 어댑터로 현행망에 붙인다","긴 메시지가 잘려도 송신자 귀속이 된다","복제 쉬움 — 성능이 낮아 보호할 것이 없다","PENDING_SCENE"
"T-006","비티","GA3","","GA10","변경 표지·정비 관습이 비공식 표준으로 확산된다","문서화되지 않아 지역마다 다르다","관습을 몰라 사고가 난다","NONE","초기 계전망 — 지역별로 자생해 문서화되지 않았다","인증 체계 이전 · 호환 C3 야전 임시 — 인증 없음. 지역 관행이 곧 기준이다","관행이 달라 생긴 사고는 어느 지역 기준을 따랐는지로 다툰다","지역마다 달라 복제라는 말이 성립하지 않는다","PENDING_SCENE"
"T-007","수블레바","GA2","","GA10","구조 인양 계보가 07호 도구족의 조상임이 드러난다","현행 규격과 접속부가 다르다","구조 장비가 강제 인양에 쓰인다","M-003","초기 계전망 — 현행 규격과 접속부가 달라 개조가 전제된다","인증 체계 이전 · 호환 C2 개방 관리 어댑터 — 개방 관리 어댑터를 끼워야 등록에 오른다","접속부를 개조한 사람에게 고장이 귀속된다","복제 가능, 접속부 개조가 매번 필요","PENDING_SCENE"
"T-008","아나프노에","GA2","","GA10","생명유지 기초가 모든 후속 규격의 바닥임을 보인다","가장 오래돼 개선 여지가 적다","이 계층이 무너지면 모든 것이 무너진다","NONE","초기 계전망 — 가장 오래돼 설계가 완전히 공개돼 있다","인증 체계 이전 · 호환 C1 인증 어댑터 — 인증 어댑터 한 단계로 현행에 붙는다","개선 여지가 없어 고장은 노후로 처리된다","완전 공개 — 누구나 만든다","PENDING_SCENE"
"T-009","노르마","GA1","A2","GA10","제국 표준을 따르지 않으면 존재하지 않는 것이 된다","표준 밖의 것은 등록조차 안 된다","등록을 거부해 사람을 지울 수 있다","M-018","제국 표준국·인가 공창 — 제국 표준 그 자체이며 규격 정의가 곧 제조 권한이다","제국 표준국 · 호환 C0 고유 — 이 계통이 인증의 기준이다. 스스로를 인증한다","표준을 어긴 쪽이 책임진다. 표준은 책임지지 않는다","표준 문서는 공개, 인가가 장벽","PENDING_SCENE"
"T-010","멘수라","GA2","","GA8","측정·교정 체계가 무엇이 사실인지의 기준이 된다","교정 주기를 놓치면 측정이 무효다","측정을 조작해 사실을 바꾼다","NONE","제국 표준국·인가 공창 — 제국 표준화 시대 계측 체계","제국 표준국 · 호환 C1 인증 어댑터 — 제국 표준국. 교정 주기를 놓치면 측정이 무효다","교정 미이행 상태의 측정 결과는 측정자 귀속","복제 가능, 교정 설비가 장벽","PENDING_SCENE"
