"system_id","reader_name","macroregion","cluster","primary_node","registered_population_millions","specialisation_1","specialisation_2","governance_r0","route_profile","ga10_transition_seed","protected_continuity_note"
"SYS-001","루멘","Core","CO-C01","L0","1000","administration","finance","imperial_direct","trunk_dense","PENDING","PROTECTED_NAME"
"SYS-002","티리스","Core","CO-C02","L0","1000","fleet_yard","certification","imperial_direct","trunk_dense","PENDING","PROTECTED_NAME"
"SYS-003","아르켈","Core","CO-C03","L0","1000","archive","law","imperial_direct","trunk_dense","PENDING","PROTECTED_NAME"
"SYS-004","발다스","Core","CO-C04","L0","1000","relay_trunk","transit","imperial_direct","trunk_dense","PENDING","PROTECTED_NAME"
"SYS-005","코르나","Core","CO-C01","L0","1000","administration","finance","imperial_direct","trunk_dense","PENDING","PROTECTED_NAME"
"SYS-006","유스티스","Core","CO-C02","L0","1000","fleet_yard","certification","imperial_direct","trunk_dense","PENDING","PROTECTED_NAME"
"SYS-007","","Core","CO-C03","L0","1000","archive","law","imperial_direct","trunk_dense","PENDING",""
"SYS-008","","Core","CO-C04","L0","1000","relay_trunk","transit","imperial_direct","trunk_dense","PENDING",""
"SYS-009","","Core","CO-C01","L0","1000","administration","finance","imperial_direct","trunk_dense","PENDING",""
"SYS-010","","Core","CO-C02","L1","1000","fleet_yard","certification","imperial_direct","trunk_dense","PENDING",""
"SYS-011","","Core","CO-C03","L1","1000","archive","law","imperial_direct","trunk_dense","PENDING",""
"SYS-012","","Core","CO-C04","L1","1000","relay_trunk","transit","imperial_direct","trunk_dense","PENDING",""
"SYS-013","","Core","CO-C01","L1","1000","administration","finance","imperial_direct","trunk_dense","PENDING",""
"SYS-014","","Core","CO-C02","L1","1000","fleet_yard","certification","imperial_direct","trunk_dense","PENDING",""
"SYS-015","","Core","CO-C03","L1","1000","archive","law","imperial_direct","trunk_dense","PENDING",""
"SYS-016","","Core","CO-C04","L1","1000","relay_trunk","transit","imperial_direct","trunk_dense","PENDING",""
"SYS-017","","Core","CO-C01","L1","1000","administration","finance","imperial_direct","trunk_dense","PENDING",""
"SYS-018","","Core","CO-C02","L1","1000","fleet_yard","certification","imperial_direct","trunk_dense","PENDING",""
