entry_id,source_row_id,source_key,source_file,source_line,arc,section,source_id,title,entry_kind,primary_domain,domain_tags,source_domain_tags,desire_phases,entity_id_candidate,subject_slot_candidate,subject_ids,host_id_candidate,current_holder,canon_tier,classification_basis,review_flags,canon_promotion
NC-CL-R-000001,NC-CL-S-000001,docs/09_collection/first-100-collectible-registry-v1.md#P-001,docs/09_collection/first-100-collectible-registry-v1.md,30,GA1,People & Relationship Records,P-001,H-001 / Future Blood Admiral,ENTITY,C1,C1,C1,DISCOVERY|ACQUISITION|SYNERGY|COMPLETION_LEGACY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000002,NC-CL-S-000001,docs/09_collection/first-100-collectible-registry-v1.md#P-001,docs/09_collection/first-100-collectible-registry-v1.md,30,GA1,People & Relationship Records,P-001,H-001 / Future Blood Admiral,RELATIONSHIP,C1,C1,C1,DISCOVERY|ACQUISITION|SYNERGY|COMPLETION_LEGACY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000003,NC-CL-S-000001,docs/09_collection/first-100-collectible-registry-v1.md#P-001,docs/09_collection/first-100-collectible-registry-v1.md,30,GA1,People & Relationship Records,P-001,H-001 / Future Blood Admiral,NARRATIVE_PROMISE,C1,C1,C1,DISCOVERY|ACQUISITION|SYNERGY|COMPLETION_LEGACY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000004,NC-CL-S-000002,docs/09_collection/first-100-collectible-registry-v1.md#P-002,docs/09_collection/first-100-collectible-registry-v1.md,42,GA1,People & Relationship Records,P-002,H-002 / Future Fleet Designer,ENTITY,C1,C1,C1|C2|C6|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000005,NC-CL-S-000002,docs/09_collection/first-100-collectible-registry-v1.md#P-002,docs/09_collection/first-100-collectible-registry-v1.md,42,GA1,People & Relationship Records,P-002,H-002 / Future Fleet Designer,RELATIONSHIP,C1,C1|C7|C2|C6,C1|C2|C6|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000006,NC-CL-S-000002,docs/09_collection/first-100-collectible-registry-v1.md#P-002,docs/09_collection/first-100-collectible-registry-v1.md,42,GA1,People & Relationship Records,P-002,H-002 / Future Fleet Designer,CONTROL_CLAIM,C1,C1|C2|C6|C7,C1|C2|C6|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000007,NC-CL-S-000002,docs/09_collection/first-100-collectible-registry-v1.md#P-002,docs/09_collection/first-100-collectible-registry-v1.md,42,GA1,People & Relationship Records,P-002,H-002 / Future Fleet Designer,NARRATIVE_PROMISE,C1,C1|C2|C6|C7,C1|C2|C6|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000008,NC-CL-S-000003,docs/09_collection/first-100-collectible-registry-v1.md#P-003,docs/09_collection/first-100-collectible-registry-v1.md,53,GA1,People & Relationship Records,P-003,S-001 / Data and Audit Cadet,ENTITY,C1,C1,C1|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000009,NC-CL-S-000003,docs/09_collection/first-100-collectible-registry-v1.md#P-003,docs/09_collection/first-100-collectible-registry-v1.md,53,GA1,People & Relationship Records,P-003,S-001 / Data and Audit Cadet,RELATIONSHIP,C1,C1|C7,C1|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000010,NC-CL-S-000003,docs/09_collection/first-100-collectible-registry-v1.md#P-003,docs/09_collection/first-100-collectible-registry-v1.md,53,GA1,People & Relationship Records,P-003,S-001 / Data and Audit Cadet,CONTROL_CLAIM,C1,C1|C7,C1|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
