source_row_id,source_key,source_file,source_line,arc,section,source_id,title,normalized_record_ids,entry_kinds,primary_domain,domain_tags,desire_phases,record_states,acquisition_text,integration_text,cost_text,loss_exit_text,ending_text,later_reuse_text,entity_id_candidate,subject_ids,host_id_candidate,current_holder,canon_tier,classification_basis,classification_reason,review_flags,canon_promotion
NC-CL-S-000001,docs/09_collection/first-100-collectible-registry-v1.md#P-001,docs/09_collection/first-100-collectible-registry-v1.md,30,GA1,People & Relationship Records,P-001,H-001 / Future Blood Admiral,NC-CL-R-000001|NC-CL-R-000002|NC-CL-R-000003,ENTITY|RELATIONSHIP|NARRATIVE_PROMISE,C1,C1,DISCOVERY|ACQUISITION|SYNERGY|COMPLETION_LEGACY,G,"shared test evidence, community-record operation, independent agreement","route planning, resource/population movement, distributed records, siege evacuation","community surveillance, political autonomy, conflict with P-001","joins another faction, breaks over protector/community manipulation, refuses central command","`G — independent conditional ally`, not subordinate",all grand acts,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,인물·조건부 동맹과 미래 정체 약속이 한 행에 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000002,docs/09_collection/first-100-collectible-registry-v1.md#P-002,docs/09_collection/first-100-collectible-registry-v1.md,42,GA1,People & Relationship Records,P-002,H-002 / Future Fleet Designer,NC-CL-R-000004|NC-CL-R-000005|NC-CL-R-000006|NC-CL-R-000007,ENTITY|RELATIONSHIP|CONTROL_CLAIM|NARRATIVE_PROMISE,C1,C1|C2|C6|C7,DISCOVERY|ACQUISITION|SYNERGY,G,"maintenance/design-right contract, workshop access, component recovery","07 restoration, open service documentation, siege power/repair","theft exposure, family workshop claim, Helix conflict, maintenance veto","contract absorption, independent workshop, refusal to repair unsafe mission",`G — team-linked independent technical owner`,GA2–10,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,인물·계약 관계와 설계권·미래 역할 약속이 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000003,docs/09_collection/first-100-collectible-registry-v1.md#P-003,docs/09_collection/first-100-collectible-registry-v1.md,53,GA1,People & Relationship Records,P-003,S-001 / Data and Audit Cadet,NC-CL-R-000008|NC-CL-R-000009|NC-CL-R-000010,ENTITY|RELATIONSHIP|CONTROL_CLAIM,C1,C1|C7,DISCOVERY|ACQUISITION|SYNERGY,G,"admission, evidence key, conditional source/privacy rules","provenance, comms, public broadcast, patient identity protection, charter logs","trust, family/identity risk, exposure of prior informing",joins Imperial/Neutral/independent archive; publishes against team,`G — conditional auditor/comms partner`,GA4/8–10 core,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,인물·감사 관계와 자격·정보 통제가 함께 기록됨,PM_MERGE_REQUIRED,NONE
NC-CL-S-000004,docs/09_collection/first-100-collectible-registry-v1.md#P-004,docs/09_collection/first-100-collectible-registry-v1.md,65,GA1,People & Relationship Records,P-004,M-001 / Medical and Rescue Cadet,NC-CL-R-000011|NC-CL-R-000012|NC-CL-R-000013,ENTITY|RELATIONSHIP|CONTROL_CLAIM,C1,C1|C7,DISCOVERY|ACQUISITION|SYNERGY,G,"Black Ward access, medical stop authority, consent-centered triage","casualty care, patient representation, siege medical zones, charter health minimum","limited supplies, choices against protagonist preference, treatment dependency/debt",medical neutrality conflict or central Continuity support,`G — medical/rescue partner with stop authority`,GA6/9–10,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,인물·의료 협력과 중지·접근 권한이 함께 기록됨,PM_MERGE_REQUIRED,NONE
NC-CL-S-000005,docs/09_collection/first-100-collectible-registry-v1.md#P-005,docs/09_collection/first-100-collectible-registry-v1.md,76,GA1,People & Relationship Records,P-005,I-001 / Field Instructor,NC-CL-R-000014|NC-CL-R-000015|NC-CL-R-000016|NC-CL-R-000017,ENTITY|RELATIONSHIP|CONTROL_CLAIM|STATE_TRANSITION,C1,C1|C7,DISCOVERY|ACQUISITION|SYNERGY,G,"public inquiry, Black Ward access, siege command, accountability","training, staff/students, independent academy front","past harmed cells, limited trust, loss of unilateral authority","removal, review, transfer, refusal to close academy",`G/R — charter instructor under investigation/reduced authority`,academy/alumni arcs,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,인물·제도 관계와 조사·권한 축소 상태가 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000006,docs/09_collection/first-100-collectible-registry-v1.md#P-006,docs/09_collection/first-100-collectible-registry-v1.md,88,GA1,People & Relationship Records,P-006,E-001 / White Dock Enemy Ace,NC-CL-R-000018|NC-CL-R-000019|NC-CL-R-000020,ENTITY|RELATIONSHIP|NARRATIVE_PROMISE,C1,C1,DISCOVERY|ACQUISITION|SYNERGY,C,"joint civilian rescue, record exchange, recurring opposition","enemy motive, capture-not-destroy combat, Independence federal/liberation option","operative injury/capture, distrust, separate agenda","breaks agreement, chooses radical/federal path, prioritizes missing person","`C — independent rival/negotiator`, not team member",GA2–3 and GA7,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,인물·경쟁 관계와 미회수 목적 약속이 함께 기록됨,PM_MERGE_REQUIRED,NONE
NC-CL-S-000007,docs/09_collection/first-100-collectible-registry-v1.md#P-007,docs/09_collection/first-100-collectible-registry-v1.md,99,GA1,People & Relationship Records,P-007,R-IMP-001 / Imperial Observer,NC-CL-R-000021|NC-CL-R-000022|NC-CL-R-000023,ENTITY|RELATIONSHIP|CONTROL_CLAIM,C1,C1|C2|C7,DISCOVERY|ACQUISITION|SYNERGY,G,"joint custody, secret offers, succession protocol","delays seizures, access to imperial records, charter state observer","classified relocation, surveillance, service claim","Purge/Continuity alignment, cover collapse",`G — official observer with limited charter power`,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,인물·제국 대표 관계와 코어·헌장 권한이 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000008,docs/09_collection/first-100-collectible-registry-v1.md#P-008,docs/09_collection/first-100-collectible-registry-v1.md,110,GA1,People & Relationship Records,P-008,R-NEU-001 / Neutral Rescue and Claims Officer,NC-CL-R-000024|NC-CL-R-000025|NC-CL-R-000026|NC-CL-R-000027,ENTITY|RELATIONSHIP|CONTROL_CLAIM|LOSS_OBLIGATION,C1,C1|C7,DISCOVERY|ACQUISITION|SYNERGY,G,"evidence chain, capacity guarantee, paid/conditional trusteeship","medical protection, public witness, charter audit","debt, limits, refusal of asylum/contraband",,"`G — neutral trustee/auditor, not ally ownership`",,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,인물·중립 수탁 관계와 보호권·채무가 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000009,docs/09_collection/first-100-collectible-registry-v1.md#P-009,docs/09_collection/first-100-collectible-registry-v1.md,120,GA1,People & Relationship Records,P-009,R-HEL-001 / Helix Evaluator,NC-CL-R-000028|NC-CL-R-000029|NC-CL-R-000030|NC-CL-R-000031,ENTITY|RELATIONSHIP|CONTROL_CLAIM|LOSS_OBLIGATION,C1,C1|C2|C3|C7,DISCOVERY|ACQUISITION|SYNERGY,G,"claims, inspection, recognition of H-002 labor, safety info","components/treatment/contract realism, Helix internal split","debt, audit, data rights, supply pressure",,`G — constrained contract stakeholder`,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,인물·계약 관계와 재산·정보권·채무가 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000010,docs/09_collection/first-100-collectible-registry-v1.md#P-010,docs/09_collection/first-100-collectible-registry-v1.md,130,GA1,People & Relationship Records,P-010,AI-W001 / Black Ward Witness Interface,NC-CL-R-000032|NC-CL-R-000033|NC-CL-R-000034|NC-CL-R-000035,ENTITY|RELATIONSHIP|CONTROL_CLAIM|NARRATIVE_PROMISE,C1,C1|C6|C7,DISCOVERY|ACQUISITION|SYNERGY,C,"patient consent, limited data copy, medical survival","protocol clue, identity-death evidence, siege authentication","incomplete information, vulnerability, political seizure attempts","deletion request, independent custodian, refusal to speak",`C/G — consent-limited witness under multi-party protection`,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,인격체·증언 관계와 동의권·정체 미스터리가 결합,PM_MERGE_REQUIRED,NONE
