"item_id","name","first_reveal","subact","final_payoff","plot_use","limit_cost","misuse_risk","related_mystery","crew","endurance","yard_dependency","frame_capacity","signature","first_scene","texture_status"
"S-000","파루스","GA2","","GA10","움직이는 학교·공방·피난처를 운영하는 첫 경험이 시리즈의 축이 된다","31년 노후, 크레이들 1기 결손, 모듈 3칸 배타 선택","학교를 무장선으로 쓰면 생도가 병사가 된다","M-003","법정 최소 42명 (errata-003이 잠근 값), 지속 혼합임무 목표 62–76명. 개막 시점은 목표에 한참 못 미치며 그 부족이 곧 항속 부족이다","만재·정상 재순환 시 75–100일. 개막 현실은 재순환 효율·예비품·인원 부족으로 32–48일 ([[first-ship-bible-v1]])","단일 도크에 묶이지 않는다 — 헬릭스 부품·정비 신용, 브란·네리스 공급 신용, 개방규격 역공학이 각각 경로이며 저마다 다른 대가를 요구한다 ([[ga2-opening-ship-finance-and-state-e101-125-v1]])","NR 계전호위선 — 크레이들 2기, 모듈 3칸 · 1기 결손 — 설계 2기 / 가동 1기 (등록부 §3 각주)","","","PENDING_SCENE"
"S-001","클라비스","GA3","","GA8","아르디스가 넘겨준 초계정이 첫 양도 선체가 된다","1기 탑재라 단독 작전이 불가능하다","양도 조건을 어기면 아르디스와의 관계가 끊긴다","NONE","[ASSUMPTION] 14명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 70일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","제국·헬릭스 양쪽 기항 가능","FR 프리깃·초계 — 크레이들 1기, 모듈 1칸","","","PENDING_SCENE"
"S-002","스테디","GA3","","GA10","공방이 붙여준 정비선이 자립 정비의 시작이 된다","발진 능력이 없어 스스로를 못 지킨다","정비선을 잃으면 전 함이 순차 정지한다","NONE","[ASSUMPTION] 22명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 90일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","고정 야드 계약 필요","TD 공작·정비선 — 크레이들 4기 (정비 전용), 모듈 6칸","","","PENDING_SCENE"
"S-003","릭토르","GA4","","GA7","노획 제국 구축함의 원명 유지가 정치 문제로 번진다","제국 규격이라 아군 기체를 못 싣는다","제국 이름을 단 배로 제국을 치면 선전에 이용된다","M-011","[ASSUMPTION] 31명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 80일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","제국 규격 야드 전용","DE 구축함 — 크레이들 2기, 모듈 2칸","","","PENDING_SCENE"
"S-004","클렙시드라","GA4","","GA9","헬릭스 의무선 양도의 인증 유효기간이 곧 시한이 된다","인증 만료 후 의료 행위가 불법이 된다","만료를 숨기고 진료하면 환자가 법적으로 무보호가 된다","M-016","[ASSUMPTION] 의료진 포함 40명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 45일 — 의료 소모품이 한계 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","의료 인증 갱신 가능한 항만만","MD 의무선 — 크레이들 1기, 모듈 5칸","","","PENDING_SCENE"
"S-005","리메스","GA5","","GA10","헌장 아래 첫 순양함이면서 이름을 못 바꾸는 배","원 소유 계보가 남아 지휘권 분쟁이 붙는다","이름을 바꾸면 승계 근거를 잃는다","NONE","[ASSUMPTION] 28명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 75일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","원 소유 계보의 야드가 정비를 거부할 수 있음","CR 순양함 — 크레이들 6기, 모듈 3칸","","","PENDING_SCENE"
"S-006","안노나","GA5","","GA9","급여·부품 수송이 곧 충성의 조건임을 드러낸다","적재 8칸이 전부라 우선순위가 갈등이 된다","보급을 쥔 자가 함대를 쥔다","NONE","[ASSUMPTION] 19명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 120일 — 보급함이라 자체 여유 큼 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","대형 야드 필요","TR 수송선 — 크레이들 0기, 모듈 8칸","","","PENDING_SCENE"
"S-007","폰티스","GA6","","GA10","두 번째 오르페우스의 피난 모함이 결정의 무대가 된다","24기 탑재분의 정원이 피난민 수용과 충돌한다","기체를 실으면 사람을 못 싣는다","M-015","[ASSUMPTION] 64명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 60일 — 정원 초과 시 급감 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","대형 야드 전용","CV 계전모함 — 크레이들 24–36기, 모듈 4칸","","","PENDING_SCENE"
"S-008","디옵트라","GA7","","GA10","항로 연방 실측선이 통행권의 물리적 근거를 만든다","측량 결과가 곧 관할 주장이 된다","측량을 조작해 관할을 넓힌다","NONE","[ASSUMPTION] 측량반 포함 26명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 100일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","측량 장비 교정 시설 필요","SV 측량·조사선 — 크레이들 1기, 모듈 4칸","","","PENDING_SCENE"
"S-010","유덱스","GA4","","GA9","계승 분쟁의 판결을 자칭하는 기함","판결을 자칭할 뿐 법적 근거가 없다","기함의 존재만으로 협상을 강요한다","M-011","[ASSUMPTION] 48명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 70일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","제국 야드","LN 전열함 — 크레이들 4기, 모듈 2칸","","","PENDING_SCENE"
