route_id,system_a_id,system_a_name,system_b_id,system_b_name,cluster_a,cluster_b,route_class,baseline_status,priority_travel_band,civilian_travel_band,source,narrative_note
RT-0001,C00-01,Aurel Prime,C01-02,Mereketh,Crown Meridian,Crown Meridian,cluster local ring,stable,0.5–1.5 days,1–4 days,deterministic local ring,Crown Meridian local continuity route
RT-0002,C00-01,Aurel Prime,C01-03,Kesta,Crown Meridian,Crown Meridian,cluster gateway spoke,stable,0.5–1.5 days,1–4 days,deterministic gateway spoke,Crown Meridian gateway access
RT-0003,C00-01,Aurel Prime,C01-04,Wrenyr,Crown Meridian,Crown Meridian,cluster gateway spoke,stable,0.5–1.5 days,1–4 days,deterministic gateway spoke,Crown Meridian gateway access
RT-0004,C00-01,Aurel Prime,C01-05,Wrenadia,Crown Meridian,Crown Meridian,cluster gateway spoke,stable,0.5–1.5 days,1–4 days,deterministic gateway spoke,Crown Meridian gateway access
RT-0005,C01-06,Demeas,C00-01,Aurel Prime,Crown Meridian,Crown Meridian,cluster local ring,stable,0.5–1.5 days,1–4 days,deterministic local ring,Crown Meridian local continuity route
RT-0006,C00-01,Aurel Prime,C02-06,Joraeth,Crown Meridian,Old Anchor,anchor trunk,stable,0.5–2 days,1–6 days,cluster backbone,Core continuity ring
RT-0007,C04-02,Ossayr,C00-01,Aurel Prime,Vigil Crown,Crown Meridian,anchor trunk,stable,0.5–2 days,1–6 days,cluster backbone,Core continuity ring
RT-0008,C00-01,Aurel Prime,I01-01,Lumen,Crown Meridian,Lumen Trunk,trunk,stable,0.5–2 days,1–6 days,cluster backbone,Primary Core-Lumen route
RT-0009,C01-02,Mereketh,C01-03,Kesta,Crown Meridian,Crown Meridian,cluster local ring,stable,0.5–1.5 days,1–4 days,deterministic local ring,Crown Meridian local continuity route
RT-0010,C01-03,Kesta,C01-04,Wrenyr,Crown Meridian,Crown Meridian,cluster local ring,stable,0.5–1.5 days,1–4 days,deterministic local ring,Crown Meridian local continuity route
RT-0011,C01-04,Wrenyr,C01-05,Wrenadia,Crown Meridian,Crown Meridian,cluster local ring,stable,0.5–1.5 days,1–4 days,deterministic local ring,Crown Meridian local continuity route
RT-0012,C01-05,Wrenadia,C01-06,Demeas,Crown Meridian,Crown Meridian,cluster local ring,stable,0.5–1.5 days,1–4 days,deterministic local ring,Crown Meridian local continuity route
RT-0013,C02-01,Haleen,C02-02,Miraeon,Old Anchor,Old Anchor,cluster local ring,stable,0.5–1.5 days,1–4 days,deterministic local ring,Old Anchor local continuity route
RT-0014,C02-06,Joraeth,C02-01,Haleen,Old Anchor,Old Anchor,cluster local ring,stable,0.5–1.5 days,1–4 days,deterministic local ring,Old Anchor local continuity route
RT-0015,C02-02,Miraeon,C02-03,Junoum,Old Anchor,Old Anchor,cluster local ring,stable,0.5–1.5 days,1–4 days,deterministic local ring,Old Anchor local continuity route
RT-0016,C02-06,Joraeth,C02-02,Miraeon,Old Anchor,Old Anchor,cluster gateway spoke,stable,0.5–1.5 days,1–4 days,deterministic gateway spoke,Old Anchor gateway access
RT-0017,C02-03,Junoum,C02-04,Wrenora,Old Anchor,Old Anchor,cluster local ring,stable,0.5–1.5 days,1–4 days,deterministic local ring,Old Anchor local continuity route
RT-0018,C02-06,Joraeth,C02-03,Junoum,Old Anchor,Old Anchor,cluster gateway spoke,stable,0.5–1.5 days,1–4 days,deterministic gateway spoke,Old Anchor gateway access
RT-0019,C02-04,Wrenora,C02-05,Seraen,Old Anchor,Old Anchor,cluster local ring,stable,0.5–1.5 days,1–4 days,deterministic local ring,Old Anchor local continuity route
RT-0020,C02-06,Joraeth,C02-04,Wrenora,Old Anchor,Old Anchor,cluster gateway spoke,stable,0.5–1.5 days,1–4 days,deterministic gateway spoke,Old Anchor gateway access
RT-0021,C02-05,Seraen,C02-06,Joraeth,Old Anchor,Old Anchor,cluster local ring,stable,0.5–1.5 days,1–4 days,deterministic local ring,Old Anchor local continuity route
RT-0022,C02-06,Joraeth,C03-01,Darinessa,Old Anchor,Aster Vault,anchor trunk,stable,0.5–2 days,1–6 days,cluster backbone,Core continuity ring
RT-0023,C02-06,Joraeth,I06-10,Xaroos,Old Anchor,Ilyr Crownward,trunk,stable,0.5–2 days,1–6 days,cluster backbone,Administrative and medical trunk
